Unnamed: 0.1,Unnamed: 0,id,context,question,answer0,answer1,answer2,answer3,label,split,input,output,answer,task,option1,option2,option3,option4,input_length,output_text,output_label,domain_label,question_type,preds,choice,is_correct
10,11,32CAVSKPCG31Y5Z6XI56DH32UXV1UK##354P56DE9NI2HYKYNVXHOA8G0AB7SX##A8E99XNOTT390##Blog_346119##q2_a1##3FI30CQHVMXH9SRX3X0S3N2VFE3B6U,"I will wear the same cloths for days , and not wear cloths much of the time . I will dance all night , then jump in the lake at dawn . I wil open myself within the sweat lodge , then float out on the lake , blanketed only by the Northern lights . For several days I will set out on my own to find my place in he woods .",How would you describe yourself ?,Someone who is unadventurous .,Someone who is conventional .,Someone who is a free spirit .,None of the above choices .,2,test,"context: i will wear the same cloths for days , and not wear cloths much of the time . i will dance all night , then jump in the lake at dawn . i wil open myself within the sweat lodge , then float out on the lake , blanketed only by the northern lights . for several days i will set out on my own to find my place in he woods . question: how would you describe yourself ? options: a) someone who is unadventurous b) someone who is conventional c) someone who is a free spirit d) none of the above choices",someone who is a free spirit,3,cosmosqa,someone who is unadventurous,someone who is conventional,someone who is a free spirit,none of the above choices,135,c) someone who is a free spirit,c,social,other,c,c,1
11,12,3VO4XFFP15K8N98KLRQACS9I3IXQ73##3F0BG9B9MQLKIVX024D6EY88F9ZY7Z##AJ7NSZOAFP05U##Blog_858661##q1_a1##3XDJY5RK5UZIQ4WPK0O8BFA58AH4U0,"When I worked in my university , I always fell I ' m a superwomen . Because I often do n't sleep for night . For some assignment . Just like physics , Linear Algebra , and something I dislike subjects .",How did you feel when you attended college ?,"At my university , I was never able to sleep at night and I was always exhausted .",I felt like I disliked it .,I felt like I was a super hero .,None of the above choices .,2,test,"context: when i worked in my university , i always fell i ' m a superwomen . because i often do n't sleep for night . for some assignment . just like physics , linear algebra , and something i dislike subjects . question: how did you feel when you attended college ? options: a) at my university i was never able to sleep at night and i was always exhausted b) i felt like i disliked it c) i felt like i was a super hero d) none of the above choices",i felt like i was a super hero,3,cosmosqa,at my university i was never able to sleep at night and i was always exhausted,i felt like i disliked it,i felt like i was a super hero,none of the above choices,124,c) i felt like i was a super hero,c,commonsense,other,a),a,0
12,13,3APP19WN71CY6K01ZLG6C05K2U06G5##3ZAZR5XV02GQZ221P7N08R9OOZ1CZC##A2KYOM2ZGYDJGT##Blog_58675##q1_a1##3MWOYZD5WX29Z7MY6JRVBIOGHAWNOJ,Gorgeous images of the sun peeking through the tall trees and giant tree ferns . Spent the rest of the day following the coast road along towards Melbourne . Sunshine finally appeared . Drove across the shipwreck coast through Apollo Bay and Lorne .,Why did the writer spend the rest of the day following the coast road ?,Because the sun was peeking through giant tree ferns .,Because the sun was peeking through tall trees .,Because they thought it would be an enjoyable thing to do .,Because the sunshine finally appeared .,2,test,context: gorgeous images of the sun peeking through the tall trees and giant tree ferns . spent the rest of the day following the coast road along towards melbourne . sunshine finally appeared . drove across the shipwreck coast through apollo bay and lorne . question: why did the writer spend the rest of the day following the coast road ? options: a) because the sun was peeking through giant tree ferns b) because the sun was peeking through tall trees c) because they thought it would be an enjoyable thing to do d) because the sunshine finally appeared,because they thought it would be an enjoyable thing to do,3,cosmosqa,because the sun was peeking through giant tree ferns,because the sun was peeking through tall trees,because they thought it would be an enjoyable thing to do,because the sunshine finally appeared,125,c) because they thought it would be an enjoyable thing to do,c,commonsense,cause prediction,d),d,0
13,14,3J6BHNX0UB6Q9G1J8RZ24178YGWNKY##3N2BF7Y2VT9WCSD5G7N73EY4TS8HMV##A3GVXFBYAU9HP##Blog_453727##q1_a1##32CAVSKPCG31Y5Z6XI56DH33XF0U1N,"To accomplish the shared vision of the Man Table we each had to give up our individuality and engage in an interdependent formation of entangled limbs and torsos . I do get it . Still we started with four , strong individuals .",How did we make the shared vision of the Man Table ?,We intertwined our four bodies on top of a wood table .,We made a table out of wood for our intertwined bodies .,We made a table for our intertwined bodies to lay on .,We made a table out of our four intertwined bodies .,3,test,"context: to accomplish the shared vision of the man table we each had to give up our individuality and engage in an interdependent formation of entangled limbs and torsos . i do get it . still we started with four , strong individuals . question: how did we make the shared vision of the man table ? options: a) we intertwined our four bodies on top of a wood table b) we made a table out of wood for our intertwined bodies c) we made a table for our intertwined bodies to lay on d) we made a table out of our four intertwined bodies",we made a table out of our four intertwined bodies,4,cosmosqa,we intertwined our four bodies on top of a wood table,we made a table out of wood for our intertwined bodies,we made a table for our intertwined bodies to lay on,we made a table out of our four intertwined bodies,145,d) we made a table out of our four intertwined bodies,d,commonsense,cause prediction,d),d,1
14,15,3ODOP6T3ASIUC3OGHI22DYR5WDF42B##3NXNZ5RS1BV5HUPSUSLQFHFH7GH79J##A2LTOS0AZ3B28A##Blog_19851##q2_a1##3QO7EE372Q1AJAAHI6EQ9SJMFKAQBB,But i made it out safely . I am so happy that i paid attention to all my driving lessons over the last 2 years . After everyone got controll i was just shaking . it was so scary .,Why had they been taking driving lessons ?,None of the above choices .,They loved when their car was out of control .,They wanted to drive and not pay attention at the same time .,They were only 16 and just learning .,3,test,context: but i made it out safely . i am so happy that i paid attention to all my driving lessons over the last 2 years . after everyone got controll i was just shaking . it was so scary . question: why had they been taking driving lessons ? options: a) none of the above choices b) they loved when their car was out of control c) they wanted to drive and not pay attention at the same time d) they were only 16 and just learning,they were only 16 and just learning,4,cosmosqa,none of the above choices,they loved when their car was out of control,they wanted to drive and not pay attention at the same time,they were only 16 and just learning,103,d) they were only 16 and just learning,d,commonsense,cause prediction,d),d,1
15,16,311HQEI8RSEH119B8N9N3LLM8XE7ZY##31Z0PCVWULDO19Y6SYQ76HGT2VNT7P##A1OPGPTQJ48XOY##Blog_1038697##q1_a1##367O8HRHKIM2BR4LVVT8WESHNK8S4Y,"I rolled onto my back and gasped for breath . He pulled away from my crotch and put his hand on my heart . I barely noticed it touch my hot , bare skin . "" I think that 's enough for the night then .",Why do you think he decided that it was enough for the night ?,I had been complaining that I was tired and he did not listen to me until finally deciding to listen to me and leave me be,None of the above choices .,I was hot and gasping and tired and could not go on anymore,He had had enough of my company and wanted to be alone,2,test,"context: i rolled onto my back and gasped for breath . he pulled away from my crotch and put his hand on my heart . i barely noticed it touch my hot , bare skin . "" i think that 's enough for the night then . question: why do you think he decided that it was enough for the night ? options: a) i had been complaining that i was tired and he did not listen to me until finally deciding to listen to me and leave me be b) none of the above choices c) i was hot and gasping and tired and could not go on anymore d) he had had enough of my company and wanted to be alone",i was hot and gasping and tired and could not go on anymore,3,cosmosqa,i had been complaining that i was tired and he did not listen to me until finally deciding to listen to me and leave me be,none of the above choices,i was hot and gasping and tired and could not go on anymore,he had had enough of my company and wanted to be alone,146,c) i was hot and gasping and tired and could not go on anymore,c,social,cause prediction,d),d,0
16,17,3FVBZG9CLLSWMU8410U7GXV2X0YH0F##3U5JL4WY5NODUSOEF75XK65YVDEX4P##A2KYOM2ZGYDJGT##Blog_1037137##q1_a1##32L724R85NYZ66N8O3RIVAXQ602PIX,"Okay , they had been talking on the phone a couple of times but they had both been very busy with other projects . Although Blake had sometimes really needed a friend and she had missed Leighton 's presence . Very much , to be truly honest . She knocked on the door and was a bit disappointed when noone answered .",Why was she a bit disappointed when noone answered ?,Because she wanted to spend time with someone who lives there .,None of the above choices .,Because they had been talking on the phone .,Because they had both been very busy with other projects .,0,test,"context: okay , they had been talking on the phone a couple of times but they had both been very busy with other projects . although blake had sometimes really needed a friend and she had missed leighton 's presence . very much , to be truly honest . she knocked on the door and was a bit disappointed when noone answered . question: why was she a bit disappointed when noone answered ? options: a) because she wanted to spend time with someone who lives there b) none of the above choices c) because they had been talking on the phone d) because they had both been very busy with other projects",because she wanted to spend time with someone who lives there,1,cosmosqa,because she wanted to spend time with someone who lives there,none of the above choices,because they had been talking on the phone,because they had both been very busy with other projects,138,a) because she wanted to spend time with someone who lives there,a,social,cause prediction,d),d,0
17,18,3OWZNK3RYLNTT1IVWOTKQ2PZVRJ2UE##333U7HK6IADA4F3B7HFP433GP04JDZ##AJ7NSZOAFP05U##Blog_1586917##q1_a2##3R16PJFTS554N8RDQMK65S176NG4K8,"Here 's what I do recall . Things started off on the wrong note when my flight out of Vegas was delayed for an hour . Then I waited another hour for my bag to make it to the carousel , only to find out that my bag never made onto the plane in the first place . Bag ETA Friday morning between 9 am and 1 pm .",What may be the reason for things starting on the wrong note ?,I could n't recall what happened on Friday morning .,I lost my luggage .,My transportation never arrived .,The luggage carousel destroyed my bag .,1,test,"context: here 's what i do recall . things started off on the wrong note when my flight out of vegas was delayed for an hour . then i waited another hour for my bag to make it to the carousel , only to find out that my bag never made onto the plane in the first place . bag eta friday morning between 9 am and 1 pm . question: what may be the reason for things starting on the wrong note ? options: a) i could nt recall what happened on friday morning b) i lost my luggage c) my transportation never arrived d) the luggage carousel destroyed my bag",i lost my luggage,2,cosmosqa,i could nt recall what happened on friday morning,i lost my luggage,my transportation never arrived,the luggage carousel destroyed my bag,137,b) i lost my luggage,b,commonsense,cause prediction,c) my transportation never arrived,c,0
18,19,3K3G488TR4M8UUT8HWND66JU5L8Q5O##3ATTHHXXWD372ZNT0W71E7FHYD8XIV##A2KYOM2ZGYDJGT##Blog_1325901##q1_a1##385MDVINFETLLQ4FI7QDZ5KLBWCJWH,"I did n't know anything about Big Springs Nebraska . Heck , I totally missed it on the way to Denver just thirty days prior to arriving . I ' ve tried to stray off the path life tries to send me on now and then , but sometimes the path is there for a reason .",Why did n't I know anything about Big Springs ?,Because it 's in Nebraska .,Because I missed it on the way to Denver .,Because I 've never been there .,None of the above choices .,2,test,"context: i did n't know anything about big springs nebraska . heck , i totally missed it on the way to denver just thirty days prior to arriving . i ' ve tried to stray off the path life tries to send me on now and then , but sometimes the path is there for a reason . question: why did n't i know anything about big springs ? options: a) because it s in nebraska b) because i missed it on the way to denver c) because i ve never been there d) none of the above choices",because i ve never been there,3,cosmosqa,because it s in nebraska,because i missed it on the way to denver,because i ve never been there,none of the above choices,125,c) because i ve never been there,c,commonsense,cause prediction,b,b,0
19,20,3WKGUBL7S10F7E9VBMW7KSEMVOLL4U##36H9ULYP659MXOGEIKMFK1UA8B1JFF##A2KYOM2ZGYDJGT##Blog_1486361##q1_a1##3FVBZG9CLLSWMU8410U7GXV2X0ZH0G,"Just kidding ! Happy for you girl ( although you obviously do n't read my blog haha ) ! =D But but i went to view his blog . One moment he was still blogging all about his same - name - as - my - cousin - ex , then the next he was babying here babying there my cousin .",Why did I go to view his blog ?,Because I was interested in what he had to say .,None of the above choices .,Because I 'm happy for you .,Because I 'm just kidding .,0,test,"context: just kidding ! happy for you girl ( although you obviously do n't read my blog haha ) ! =d but but i went to view his blog . one moment he was still blogging all about his same - name - as - my - cousin - ex , then the next he was babying here babying there my cousin . question: why did i go to view his blog ? options: a) because i was interested in what he had to say b) none of the above choices c) because i m happy for you d) because i m just kidding",because i was interested in what he had to say,1,cosmosqa,because i was interested in what he had to say,none of the above choices,because i m happy for you,because i m just kidding,121,a) because i was interested in what he had to say,a,social,cause prediction,a),a,1
20,21,3PN6H8C9R4OWH22DN8WAMK49LHADAK##3TS1AR6UQRCEI4G5XELIPD1SARTF7Q##A2KYOM2ZGYDJGT##Blog_75676##q1_a1##338431Z1FNTUE5EQZQ8CK2TQI7PORC,Underneath that are the house keys for my grandma 's former house and my grandparent 's home . To the right is a selection of stones and a shell that I had found or bought over the years . Near the bottom is the rosary I received for my first communion .,Why are the house keys underneath something ?,Because the writer received a rosary for their first communion .,Because to the right of the keys are a selection of stones .,Because the writer found a shell .,So that certain people can find the keys outside .,3,test,context: underneath that are the house keys for my grandma 's former house and my grandparent 's home . to the right is a selection of stones and a shell that i had found or bought over the years . near the bottom is the rosary i received for my first communion . question: why are the house keys underneath something ? options: a) because the writer received a rosary for their first communion b) because to the right of the keys are a selection of stones c) because the writer found a shell d) so that certain people can find the keys outside,so that certain people can find the keys outside,4,cosmosqa,because the writer received a rosary for their first communion,because to the right of the keys are a selection of stones,because the writer found a shell,so that certain people can find the keys outside,134,d) so that certain people can find the keys outside,d,commonsense,cause prediction,b),b,0
21,22,3SZYX62S5IEYOCOTLXE76F2Z0PV578##31Z0PCVWUNU3WYXDCV27YF427JVT7Z##AJ7NSZOAFP05U##Blog_842310##q1_a1##3V0TR1NRVCGYBVIREV7HBEYB1FZA4K,"Poor Katie is obviously allergic to something . I suspect the cat . She was at my mom 's all day , and on the way home in the car she started to cry and rub her eyes saying they hurt . I asked her if she patted the cat .",What may have caused Katie to rub her eyes ?,She was crying .,The cat attacked her eyes .,She was allergic to something in the car .,None of the above choices .,3,test,"context: poor katie is obviously allergic to something . i suspect the cat . she was at my mom 's all day , and on the way home in the car she started to cry and rub her eyes saying they hurt . i asked her if she patted the cat . question: what may have caused katie to rub her eyes ? options: a) she was crying b) the cat attacked her eyes c) she was allergic to something in the car d) none of the above choices",none of the above choices,4,cosmosqa,she was crying,the cat attacked her eyes,she was allergic to something in the car,none of the above choices,105,d) none of the above choices,d,science,cause prediction,c,c,0
22,23,36818Z1KV5RDTZZNEH2Y1965NAD3AS##3EKVH9QME1JPT84AKTLXXK58UBS2D5##AJ7NSZOAFP05U##Blog_756439##q1_a1##3OKP4QVBP4BENBBB9W9IK3VERMCAGF,"I have n't blogged much about The Girls since we got them . All my worries about them being hard to look after and escaping have been pretty much unfounded . They 're quiet , reasonably clean , like to talk ten to the dozen and take themselves back to their coop at the end of the day without a murmur .",What may be your reason for blogging about the girls ?,The girls were escaping .,They failed to meet my expectations .,None of the above choices .,They exceeded my expectations .,3,test,"context: i have n't blogged much about the girls since we got them . all my worries about them being hard to look after and escaping have been pretty much unfounded . they 're quiet , reasonably clean , like to talk ten to the dozen and take themselves back to their coop at the end of the day without a murmur . question: what may be your reason for blogging about the girls ? options: a) the girls were escaping b) they failed to meet my expectations c) none of the above choices d) they exceeded my expectations",they exceeded my expectations,4,cosmosqa,the girls were escaping,they failed to meet my expectations,none of the above choices,they exceeded my expectations,124,d) they exceeded my expectations,d,commonsense,cause prediction,b,b,0
23,24,3R5OYNIC2ENPFK3JIFQM9HZYGX3PTS##3DL65MZB8GU7JWACDHLNFFWF6PBCE8##A2KYOM2ZGYDJGT##Blog_632253##q1_a1##3HY86PZXP0WK992K7IQ19ZHZACE1EO,"Well it started to rain and there was lightning , and at the end of the 20 minutes they decide to have an hour break . So everyone started leaving , going to their cars , and such . So we went back to the car and at the end of the hour break , it was still storming , so they decide to wait another 45 minutes . But after that they finally got it started again .",Why did they decide to have an hour break ?,Because we went back to the car .,Because everyone started leaving .,Because they wanted to rest or relax .,Because everyone was going to their cars .,2,test,"context: well it started to rain and there was lightning , and at the end of the 20 minutes they decide to have an hour break . so everyone started leaving , going to their cars , and such . so we went back to the car and at the end of the hour break , it was still storming , so they decide to wait another 45 minutes . but after that they finally got it started again . question: why did they decide to have an hour break ? options: a) because we went back to the car b) because everyone started leaving c) because they wanted to rest or relax d) because everyone was going to their cars",because they wanted to rest or relax,3,cosmosqa,because we went back to the car,because everyone started leaving,because they wanted to rest or relax,because everyone was going to their cars,138,c) because they wanted to rest or relax,c,commonsense,cause prediction,c),c,1
24,25,3YGE63DINABEJK3TWZG7H05PC8T0WK##3OHYZ19UGFK528Q3NHSSEW059JFAOG##A2KYOM2ZGYDJGT##Blog_1292344##q1_a1##3PEG1BH7AG5O87CM51UTD67DGJ9BK5,"Monday , September 8 Better late than never , do n't you think . These are the photos of the necklace I made in class last month . It matches the earrings I posted earlier . Made with bronze colored 8/0 seed beads for the base and embellished with 11/0 seed beads .",What 's a possible reason the writer made a necklace in class ?,Because it was on Monday .,None of the above choices .,Because they thought they would enjoy making it .,Because they wanted to take photos of them .,2,test,"context: monday , september 8 better late than never , do n't you think . these are the photos of the necklace i made in class last month . it matches the earrings i posted earlier . made with bronze colored 8/0 seed beads for the base and embellished with 11/0 seed beads . question: what 's a possible reason the writer made a necklace in class ? options: a) because it was on monday b) none of the above choices c) because they thought they would enjoy making it d) because they wanted to take photos of them",because they thought they would enjoy making it,3,cosmosqa,because it was on monday,none of the above choices,because they thought they would enjoy making it,because they wanted to take photos of them,121,c) because they thought they would enjoy making it,c,commonsense,cause prediction,c),c,1
