,task,domain_label,question_type,input,input,output_text,know_pred,know_pred_is_correct,baseline_is_correct,baseline_pred
9,ropes,commonsense, cause comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: paul had a busy day storing xml. at 3 pm, he stored 22111 gigabytes to the database. at 4 pm, he stored 33222 gigabytes to the database. at 5 pm, he stored 44333 gigabytes to the database. at 6 pm, he got dinner. at 7 pm, he stored 55444 gigabytes to the database. at 8 pm, he stored 66555 gigabytes to the database. at 9 pm, he went to sleep to finish storing xml tomorrow afternoon.
 question: what time did storage costs go up:  4 pm or 6 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: paul had a busy day storing xml. at 3 pm, he stored 22111 gigabytes to the database. at 4 pm, he stored 33222 gigabytes to the database. at 5 pm, he stored 44333 gigabytes to the database. at 6 pm, he got dinner. at 7 pm, he stored 55444 gigabytes to the database. at 8 pm, he stored 66555 gigabytes to the database. at 9 pm, he went to sleep to finish storing xml tomorrow afternoon.
 question: what time did storage costs go up:  4 pm or 6 pm?",4 pm,6 PM,0,0,6 PM
194,ropes,commonsense, effect comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: dan had a busy day storing xml. at 2 pm, he stored 10000 gigabytes to the database. at 3 pm, he stored 20000 gigabytes to the database. at 4 pm, he stored 30000 gigabytes to the database. at 5 pm, he got dinner. at 6 pm, he stored 40000 gigabytes to the database. at 7 pm, he stored 50000 gigabytes to the database. at 8 pm, he went to sleep to finish storing xml in the morning.
 question: what time did cpu load go up: 7 pm or 8 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: dan had a busy day storing xml. at 2 pm, he stored 10000 gigabytes to the database. at 3 pm, he stored 20000 gigabytes to the database. at 4 pm, he stored 30000 gigabytes to the database. at 5 pm, he got dinner. at 6 pm, he stored 40000 gigabytes to the database. at 7 pm, he stored 50000 gigabytes to the database. at 8 pm, he went to sleep to finish storing xml in the morning.
 question: what time did cpu load go up: 7 pm or 8 pm?",7 pm,7 PM,1,0,CPU load went up at 8 PM.
406,ropes,commonsense, effect comparison,"background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their yellow drone the highest into the air. team a got it 2,551 ft. team b got it 3,551 ft. team c go it 4,541 ft. team d got it 5,531 ft. team e got it 10,521 ft. team f got it 13,571 ft. team g got it 14,581 ft. team g won the contest and got a big gold trophy as the prize.
 question: what team got their drone into high altitude: team a or team f?","background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their yellow drone the highest into the air. team a got it 2,551 ft. team b got it 3,551 ft. team c go it 4,541 ft. team d got it 5,531 ft. team e got it 10,521 ft. team f got it 13,571 ft. team g got it 14,581 ft. team g won the contest and got a big gold trophy as the prize.
 question: what team got their drone into high altitude: team a or team f?",team f,Team F,1,1,Team F
84,ropes,commonsense, effect comparison,"background: alberta's electrical demand varies throughout the day and across the seasons. when individuals are fixing supper and using home appliances, demand for power goes up, as it does during heat waves and cold snaps. it tapers off during spring and fall. like other mechanical devices, generators fail from time to time. if they are wind-powered, their output varies with the wind.
 situation: tony is in charge of a power station in alberta. he has been tasked with turning on and off generators depending on the demand for power. he has been ordered to try and be efficient as possible, turning off generators in low demand times, and turning them on in high demand times to satisfy needs. on monday and tuesday, alberta saw record high temperatures, and on thursday and friday,  things cooled off for a more moderate and comfortable temperature.
 question: would tony have been using more or less generators on friday than monday?","background: alberta's electrical demand varies throughout the day and across the seasons. when individuals are fixing supper and using home appliances, demand for power goes up, as it does during heat waves and cold snaps. it tapers off during spring and fall. like other mechanical devices, generators fail from time to time. if they are wind-powered, their output varies with the wind.
 situation: tony is in charge of a power station in alberta. he has been tasked with turning on and off generators depending on the demand for power. he has been ordered to try and be efficient as possible, turning off generators in low demand times, and turning them on in high demand times to satisfy needs. on monday and tuesday, alberta saw record high temperatures, and on thursday and friday,  things cooled off for a more moderate and comfortable temperature.
 question: would tony have been using more or less generators on friday than monday?",less,more,0,0,Tony would have been using less generators on Friday than Monday.
371,ropes,commonsense, effect comparison,"background: alberta's electrical demand varies throughout the day and across the seasons. when individuals are fixing supper and using home appliances, demand for power goes up, as it does during heat waves and cold snaps. it tapers off during spring and fall. like other mechanical devices, generators fail from time to time. if they are wind-powered, their output varies with the wind.
 situation: it has been a weird week in the neighborhood. on monday, there was a heat wave. on tuesday, a cold snap happened. on wednesday, everybody was using their ovens to bake cakes for the contest. on thursday, everybody stayed home to do nothing but pray. on friday, everybody went to the park to play in a soccer tournament and sleep in tents . on saturday, there was another heat wave. on sunday, another cold snap happened.
 question: what day did demand for power go up: tuesday or thursday?","background: alberta's electrical demand varies throughout the day and across the seasons. when individuals are fixing supper and using home appliances, demand for power goes up, as it does during heat waves and cold snaps. it tapers off during spring and fall. like other mechanical devices, generators fail from time to time. if they are wind-powered, their output varies with the wind.
 situation: it has been a weird week in the neighborhood. on monday, there was a heat wave. on tuesday, a cold snap happened. on wednesday, everybody was using their ovens to bake cakes for the contest. on thursday, everybody stayed home to do nothing but pray. on friday, everybody went to the park to play in a soccer tournament and sleep in tents . on saturday, there was another heat wave. on sunday, another cold snap happened.
 question: what day did demand for power go up: tuesday or thursday?",tuesday,Thursday,0,0,Thursday.
388,ropes,science, effect comparison,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 4th grade classroom photo was held today. they all gathered by age. marcelo was the oldest. mel was the 2nd oldest. tod was the 3rd oldest. chang was the 4th oldest. chauncey was the 5th oldest. lenard was the 6th oldest. the last one was maria, who was the youngest. they all looked wonderful that day.
 question: who has a greater chance of developing a chronic infection: mel or maria?","background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 4th grade classroom photo was held today. they all gathered by age. marcelo was the oldest. mel was the 2nd oldest. tod was the 3rd oldest. chang was the 4th oldest. chauncey was the 5th oldest. lenard was the 6th oldest. the last one was maria, who was the youngest. they all looked wonderful that day.
 question: who has a greater chance of developing a chronic infection: mel or maria?",maria,Mel,0,0,Mel
495,ropes,science, effect comparison,"background: candied fruit, also known as crystallized fruit or glacé fruit, has existed since the 14th century. whole fruit, smaller pieces of fruit, or pieces of peel, are placed in heated sugar syrup, which absorbs the moisture from within the fruit and eventually preserves it. depending on size and type of fruit, this process of preservation can take from several days to several months.[1] this process allows the fruit to retain its quality for a year.[2]

the continual process of drenching the fruit in syrup causes the fruit to become saturated with sugar, preventing the growth of spoilage microorganisms due to the unfavourable osmotic pressure this creates.[3]
 situation: a 2nd grade classroom photo was held today. they all gathered by age. efren was the youngest, followed by nigel, and ahmad was the oldest. they looked great that day.
 question: who has a greater chance of developing a chronic infection: ahmad or nigel?","background: candied fruit, also known as crystallized fruit or glacé fruit, has existed since the 14th century. whole fruit, smaller pieces of fruit, or pieces of peel, are placed in heated sugar syrup, which absorbs the moisture from within the fruit and eventually preserves it. depending on size and type of fruit, this process of preservation can take from several days to several months.[1] this process allows the fruit to retain its quality for a year.[2]

the continual process of drenching the fruit in syrup causes the fruit to become saturated with sugar, preventing the growth of spoilage microorganisms due to the unfavourable osmotic pressure this creates.[3]
 situation: a 2nd grade classroom photo was held today. they all gathered by age. efren was the youngest, followed by nigel, and ahmad was the oldest. they looked great that day.
 question: who has a greater chance of developing a chronic infection: ahmad or nigel?",nigel,Nigel,1,0,Ahmad
30,ropes,science, effect comparison,"background: if all the other factors influencing humidity remain constant, at ground level the relative humidity rises as the temperature falls. this is because less vapor is needed to saturate the air, so vapor condenses as the temperature falls. in normal conditions, the dew point temperature will not be greater than the air temperature because relative humidity cannot exceed 100%.[4]
 situation: grace is trying to set up a running schedule for herself. she prefers running on days when the humidity is at it's lowest so she doesn't feel so muggy. on wednesday the high temperature is going to be 90 degrees, and on thursday the high temperature is going to be 75 degrees.
 question: which day will grace most likely encounter more humidity?","background: if all the other factors influencing humidity remain constant, at ground level the relative humidity rises as the temperature falls. this is because less vapor is needed to saturate the air, so vapor condenses as the temperature falls. in normal conditions, the dew point temperature will not be greater than the air temperature because relative humidity cannot exceed 100%.[4]
 situation: grace is trying to set up a running schedule for herself. she prefers running on days when the humidity is at it's lowest so she doesn't feel so muggy. on wednesday the high temperature is going to be 90 degrees, and on thursday the high temperature is going to be 75 degrees.
 question: which day will grace most likely encounter more humidity?",thursday,Thursday,1,0,Wednesday
316,ropes,commonsense, cause comparison,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: adam had a busy day storing xml. at 4 pm, he stored 20 gigabytes to the database. at 5 pm, he stored 25 gigabytes to the database. at 6 pm, he stored 30 gigabytes to the database. at 7 pm, he got dinner. at 8 pm, he stored 35 gigabytes to the database. at 9 pm, he stored 40 gigabytes to the database. at 10 pm, he went to sleep to finish storing xml tomorrow.
 question: what time did storage costs go up:  6 pm or 7 pm?","background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: adam had a busy day storing xml. at 4 pm, he stored 20 gigabytes to the database. at 5 pm, he stored 25 gigabytes to the database. at 6 pm, he stored 30 gigabytes to the database. at 7 pm, he got dinner. at 8 pm, he stored 35 gigabytes to the database. at 9 pm, he stored 40 gigabytes to the database. at 10 pm, he went to sleep to finish storing xml tomorrow.
 question: what time did storage costs go up:  6 pm or 7 pm?",6 pm,6 PM,1,0,7 PM.
408,ropes,science, effect comparison,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 1st grade classroom photo was held today. they all gathered by age. waldo was the youngest. antone was the 2nd youngest. chi was the 3rd youngest. damion was the 4th youngest. kenton was the 5th youngest. rolland was the 6th youngest. the last one was rupert, who was the oldest. they all looked handsome.
 question: who has a greater chance of developing a chronic infection: kenton or antone?","background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 1st grade classroom photo was held today. they all gathered by age. waldo was the youngest. antone was the 2nd youngest. chi was the 3rd youngest. damion was the 4th youngest. kenton was the 5th youngest. rolland was the 6th youngest. the last one was rupert, who was the oldest. they all looked handsome.
 question: who has a greater chance of developing a chronic infection: kenton or antone?",antone,Antone,1,1,Antone
490,ropes,commonsense, cause comparison,"background: beginning in the late 1970’s, ozone depletion was recognized as a significant environmental issue. the most dramatic decrease in ozone occurs seasonally over the continent of antarctica. the size and duration of the ozone hole steadily increased, with the largest hole recorded in 2006. fortunately, most countries have recognized the danger of cfcs and dramatically curtailed their use in recent years. it is hoped that ozone depletion will slow and that the ozone layer may eventually be restored to its earlier levels.
 situation: greg has been on an environmental awareness kick lately. he is trying to buy products that are good for the environment. while at the store, he stopped to look at some hair sprays. the revlon brand he noticed has cfcs. the sephora brand he noticed explicitly noted that it did not contain cfcs.
 question: which hair spray brand should greg buy to be environmentally friendly?","background: beginning in the late 1970’s, ozone depletion was recognized as a significant environmental issue. the most dramatic decrease in ozone occurs seasonally over the continent of antarctica. the size and duration of the ozone hole steadily increased, with the largest hole recorded in 2006. fortunately, most countries have recognized the danger of cfcs and dramatically curtailed their use in recent years. it is hoped that ozone depletion will slow and that the ozone layer may eventually be restored to its earlier levels.
 situation: greg has been on an environmental awareness kick lately. he is trying to buy products that are good for the environment. while at the store, he stopped to look at some hair sprays. the revlon brand he noticed has cfcs. the sephora brand he noticed explicitly noted that it did not contain cfcs.
 question: which hair spray brand should greg buy to be environmentally friendly?",sephora,Greg should buy the Sephora brand of hair spray.,1,0,Greg should buy the Sephora brand hair spray.
