Unnamed: 0,question_stem,question_para_step,answer_label,answer_label_as_choice,choices,metadata_question_id,metadata_graph_id,metadata_para_id,metadata_question_type,metadata_path_len,split,label,context,input,output,task,input_length,output_text,output_label,question,updated_answer,domain_label,question_type,baseline_pred,baseline_choice,baseline_is_correct,know_pred,know_choice,know_is_correct
192,"suppose during summer happens, how will it affect more evaporation.","['Water is exposed to heat energy, like sunlight', 'The water temperature is raised above 212 degrees fahrenheit', 'The heat breaks down the molecules in the water', 'These molecules escape from the water', 'The water becomes vapor', 'The vapor evaporates into the atmosphere', '']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:127:11:12#1,11,127,EXOGENOUS_EFFECT,4,test,0,"Water is exposed to heat energy, like sunlight. The water temperature is raised above 212 degrees fahrenheit. The heat breaks down the molecules in the water. These molecules escape from the water. The water becomes vapor. The vapor evaporates into the atmosphere.","context: 1. water is exposed to heat energy, like sunlight 2. the water temperature is raised above 212 degrees fahrenheit 3. the heat breaks down the molecules in the water 4. these molecules escape from the water 5. the water becomes vapor 6. the vapor evaporates into the atmosphere 7.  question: suppose during summer happens how will it affect more evaporation? options: a) more b) less c) no effect",more,wiqa,80,a) more,a,"if it is summer, how will this affect the rate of evaporation?",more,science,effect quantification,a) more.,a,1,a) more.,a,1
101,"suppose more global warming causes extreme temperatures happens, how will it affect crops will sprout and grow less.","['The farmer chooses a crop that will grow well in his region', 'The farmer tills the soil to loosen it', 'The farmer spreads seeds', 'The farmer tills again to plant the seeds', 'Crops grow.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:690:1347:10#1,1347,690,EXOGENOUS_EFFECT,3,test,0,The farmer chooses a crop that will grow well in his region. The farmer tills the soil to loosen it. The farmer spreads seeds. The farmer tills again to plant the seeds. Crops grow.,context: 1. the farmer chooses a crop that will grow well in his region 2. the farmer tills the soil to loosen it 3. the farmer spreads seeds 4. the farmer tills again to plant the seeds 5. crops grow. question: suppose more global warming causes extreme temperatures happens how will it affect crops will sprout and grow less? options: a) more b) less c) no effect,more,wiqa,79,a) more,a,"if global warming causes more extreme temperatures, how will this affect the ability of crops to sprout and grow?",less,science,effect quantification,"c) no effect (for the given steps in the scenario, global warming affects the overall crop",c,0,c. no effect (directly on seed sprouting and growth),c,0
268,"suppose fewer fish mate happens, how will it affect less fish.","['Fish lays eggs', 'Eggs hatch', 'Tiny fish called fry emerge', 'Fry eat and grow', 'Fry become adult fish', 'Fish mate and more eggs are produced.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:640:1162:23#0,1162,640,INPARA_EFFECT,3,test,0,Fish lays eggs. Eggs hatch. Tiny fish called fry emerge. Fry eat and grow. Fry become adult fish. Fish mate and more eggs are produced.,context: 1. fish lays eggs 2. eggs hatch 3. tiny fish called fry emerge 4. fry eat and grow 5. fry become adult fish 6. fish mate and more eggs are produced. question: suppose fewer fish mate happens how will it affect less fish? options: a) more b) less c) no effect,more,wiqa,64,a) more,a,"if fewer fish mate, how will this affect the fish population?",less,science,effect quantification,c) less effect (assuming the current fish population is stable and the decrease in mating does,c,0,c) less.,c,0
451,"suppose if water stops getting evaporated happens, how will it affect a less intense water cycle.","['Water from oceans, lakes, rivers, swamps, and plants turns into water vapor', 'Water vapor forms droplets in clouds', 'Water droplets in clouds become rain or snow and fall', 'Some water goes into the ground', 'Some water flows down streams into rivers and oceans', '']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:14:914:127#0,914,14,INPARA_EFFECT,3,test,0,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor. Water vapor forms droplets in clouds. Water droplets in clouds become rain or snow and fall. Some water goes into the ground. Some water flows down streams into rivers and oceans.","context: 1. water from oceans, lakes, rivers, swamps, and plants turns into water vapor 2. water vapor forms droplets in clouds 3. water droplets in clouds become rain or snow and fall 4. some water goes into the ground 5. some water flows down streams into rivers and oceans 6.  question: suppose if water stops getting evaporated happens how will it affect a less intense water cycle? options: a) more b) less c) no effect",more,wiqa,91,a) more,a,"if water stops evaporating, how will this affect the intensity of the water cycle?",less,science,effect quantification,"c) no effect (on the intensity of the water cycle, the absence of evaporation would",c,0,"c) no effect (evaporation is a necessary step in the water cycle, but if it",c,0
30,"suppose being in a rain forest happens, how will it affect fewer crops will grow.","['The farmer chooses a crop that will grow well in his region', 'The farmer tills the soil to loosen it', 'The farmer spreads seeds', 'The farmer tills again to plant the seeds', 'Crops grow.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:690:1352:211,1352,690,OUTOFPARA_DISTRACTOR,0,test,2,The farmer chooses a crop that will grow well in his region. The farmer tills the soil to loosen it. The farmer spreads seeds. The farmer tills again to plant the seeds. Crops grow.,context: 1. the farmer chooses a crop that will grow well in his region 2. the farmer tills the soil to loosen it 3. the farmer spreads seeds 4. the farmer tills again to plant the seeds 5. crops grow. question: suppose being in a rain forest happens how will it affect fewer crops will grow? options: a) more b) less c) no effect,no effect,wiqa,78,c) no effect,c,"if a farmer is in a rainforest, how will this impact the growth of the crops?",no effect,science,effect quantification,"c) no effect (for a farmer in a rainforest, tilling the soil is not",c,1,c) no effect (for a farmer to till the soil in a rainforest is not feas,c,1
137,"suppose frog is not safe in the water happens, how will it affect more igneous rock forming.","['Different kinds of rocks melt into magma', 'Magma cools in the crust', 'Magma goes to the surface and becomes lava', 'Lava cools', 'Cooled magma and lava become igneous rock.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:35:902:186,902,35,OUTOFPARA_DISTRACTOR,0,test,2,Different kinds of rocks melt into magma. Magma cools in the crust. Magma goes to the surface and becomes lava. Lava cools. Cooled magma and lava become igneous rock.,context: 1. different kinds of rocks melt into magma 2. magma cools in the crust 3. magma goes to the surface and becomes lava 4. lava cools 5. cooled magma and lava become igneous rock. question: suppose frog is not safe in the water happens how will it affect more igneous rock forming? options: a) more b) less c) no effect,no effect,wiqa,87,c) no effect,c,"if a frog is not safe in the water, how will this affect the formation of more igneous rock?",no effect,science,effect quantification,c) no effect.,c,1,c) no effect.,c,1
486,"suppose more water in the environment happens, how will it affect more igneous rock forming.","['Different kinds of rocks melt into magma', 'Magma cools in the crust', 'Magma goes to the surface and becomes lava', 'Lava cools', 'Cooled magma and lava become igneous rock.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:35:899:70,899,35,OUTOFPARA_DISTRACTOR,0,test,2,Different kinds of rocks melt into magma. Magma cools in the crust. Magma goes to the surface and becomes lava. Lava cools. Cooled magma and lava become igneous rock.,context: 1. different kinds of rocks melt into magma 2. magma cools in the crust 3. magma goes to the surface and becomes lava 4. lava cools 5. cooled magma and lava become igneous rock. question: suppose more water in the environment happens how will it affect more igneous rock forming? options: a) more b) less c) no effect,no effect,wiqa,83,c) no effect,c,"if there is more water in the environment, how will this affect the formation of igneous rock?",more,science,effect quantification,c) no effect.,c,0,a) more.,a,1
265,"suppose water doesnt get filtered into the ground happens, how will it affect smaller mountains.","['Tectonic plates smash together', 'The edges of the plates crumple up', 'The ridges are mountain ranges', 'Magma is forced to the surface', 'Magma forms a volcano.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:115:2082:196,2082,115,OUTOFPARA_DISTRACTOR,0,test,2,Tectonic plates smash together. The edges of the plates crumple up. The ridges are mountain ranges. Magma is forced to the surface. Magma forms a volcano.,context: 1. tectonic plates smash together 2. the edges of the plates crumple up 3. the ridges are mountain ranges 4. magma is forced to the surface 5. magma forms a volcano. question: suppose water doesnt get filtered into the ground happens how will it affect smaller mountains? options: a) more b) less c) no effect,no effect,wiqa,74,c) no effect,c,"if water does not get filtered into the ground, how will this affect the size of the mountains?",no effect,science,effect quantification,c) no effect.,c,1,"c) no effect (in the context of mountain formation as described, water filtration failure does",c,1
371,"suppose the plant is kept indoors happens, how will it affect no pollen will stick to them.","['A flowering plant has stamen and pistils', 'An insect ot bird lands on the plant', 'Some of the pollen sticks to it', 'The insect or bird travels to another plant of the same species', 'The pollen is tranferred to the new plant.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:1273:630:64#0,630,1273,EXOGENOUS_EFFECT,3,test,0,A flowering plant has stamen and pistils. An insect ot bird lands on the plant. Some of the pollen sticks to it. The insect or bird travels to another plant of the same species. The pollen is tranferred to the new plant.,context: 1. a flowering plant has stamen and pistils 2. an insect ot bird lands on the plant 3. some of the pollen sticks to it 4. the insect or bird travels to another plant of the same species 5. the pollen is tranferred to the new plant. question: suppose the plant is kept indoors happens how will it affect no pollen will stick to them? options: a) more b) less c) no effect,more,wiqa,93,a) more,a,"if a plant is kept indoors, how will this affect the likelihood of pollen sticking to it?",less,science,effect quantification,c) no effect (assuming the indoor conditions are controlled to allow for normal pollen production and,c,0,c) no effect (indoor conditions do not directly affect the stickiness of pollen),c,0
490,"suppose there will be fewer egg clusters happens, how will it affect less crops.","['The planter must select a crop', 'The soil is prepared properly for that specific crop', 'Fertilizer is added to the soil', 'Seeds are planted in the field', 'Irrigation is set up to keep the crops properly watered', 'The crops grow', 'The crops are harvested.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:321:341:32,341,321,OUTOFPARA_DISTRACTOR,0,test,2,The planter must select a crop. The soil is prepared properly for that specific crop. Fertilizer is added to the soil. Seeds are planted in the field. Irrigation is set up to keep the crops properly watered. The crops grow. The crops are harvested.,context: 1. the planter must select a crop 2. the soil is prepared properly for that specific crop 3. fertilizer is added to the soil 4. seeds are planted in the field 5. irrigation is set up to keep the crops properly watered 6. the crops grow 7. the crops are harvested. question: suppose there will be fewer egg clusters happens how will it affect less crops? options: a) more b) less c) no effect,no effect,wiqa,90,c) no effect,c,"if there are fewer egg clusters, how will this affect the yield of the crops?",no effect,science,effect quantification,c) less.,c,1,c) less.,c,1
72,"suppose higher levels of pollution contaminate the water happens, how will it affect quality fertilizer is added to soil.","['The planter must select a crop', 'The soil is prepared properly for that specific crop', 'Fertilizer is added to the soil', 'Seeds are planted in the field', 'Irrigation is set up to keep the crops properly watered', 'The crops grow', 'The crops are harvested.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:321:342:50,342,321,OUTOFPARA_DISTRACTOR,0,test,2,The planter must select a crop. The soil is prepared properly for that specific crop. Fertilizer is added to the soil. Seeds are planted in the field. Irrigation is set up to keep the crops properly watered. The crops grow. The crops are harvested.,context: 1. the planter must select a crop 2. the soil is prepared properly for that specific crop 3. fertilizer is added to the soil 4. seeds are planted in the field 5. irrigation is set up to keep the crops properly watered 6. the crops grow 7. the crops are harvested. question: suppose higher levels of pollution contaminate the water happens how will it affect quality fertilizer is added to soil? options: a) more b) less c) no effect,no effect,wiqa,96,c) no effect,c,"if higher levels of pollution contaminate the water, how will this affect the quality of the soil after fertilizer has been added?",more,science,effect quantification,"c) no effect (directly on soil quality after fertilizer has been added, however,",c,0,c) no effect (assuming the pollution occurs after the fertilizer has been added and absorbed,c,0
63,"suppose you have more access to water happens, how will it affect more hydrogen available.","['DNA replication is initiated by proteins', 'The hydrogen bonds that hold together a strand of DNA are broken', 'A polymerase reads each side of the strand', 'Adds complimentary nucleotides', 'Once all the bases are matched, the new DNA strand is formed', 'DNA ligase seals the new pieces into two new strands', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:1078:2091:44,2091,1078,OUTOFPARA_DISTRACTOR,0,test,2,"DNA replication is initiated by proteins. The hydrogen bonds that hold together a strand of DNA are broken. A polymerase reads each side of the strand. Adds complimentary nucleotides. Once all the bases are matched, the new DNA strand is formed. DNA ligase seals the new pieces into two new strands.","context: 1. dna replication is initiated by proteins 2. the hydrogen bonds that hold together a strand of dna are broken 3. a polymerase reads each side of the strand 4. adds complimentary nucleotides 5. once all the bases are matched, the new dna strand is formed 6. dna ligase seals the new pieces into two new strands 7.  question: suppose you have more access to water happens how will it affect more hydrogen available? options: a) more b) less c) no effect",no effect,wiqa,104,c) no effect,c,"if there is an increase in access to water, how will this affect the availability of hydrogen?",no effect,science,effect quantification,"c) no effect (for the given scenario, the availability of water does not directly affect the hydro",c,1,b) less,b,0
93,"suppose people build more ponds happens, how will it affect more frogs.","['The frog&#x27;s egg hatches and a tadpole is born', 'The tadpole swims with its siblings and tries to survive', 'The tadpole grows larger', 'The tadpole loses its tail', 'The tadpole develops limbs', 'And the tadpole now becomes a frog.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:643:1698:92#1,1698,643,EXOGENOUS_EFFECT,4,test,0,The frog&#x27;s egg hatches and a tadpole is born. The tadpole swims with its siblings and tries to survive. The tadpole grows larger. The tadpole loses its tail. The tadpole develops limbs. And the tadpole now becomes a frog.,context: 1. the frog&#x27;s egg hatches and a tadpole is born 2. the tadpole swims with its siblings and tries to survive 3. the tadpole grows larger 4. the tadpole loses its tail 5. the tadpole develops limbs 6. and the tadpole now becomes a frog. question: suppose people build more ponds happens how will it affect more frogs? options: a) more b) less c) no effect,more,wiqa,115,a) more,a,"if people build more ponds, how will this affect the frog population?",no effect,science,effect quantification,a) more.,a,0,"c. no effect (directly) on the frog population, but it could potentially have an",c,1
368,"suppose keeping the environment less clean happens, how will it affect pollen sticks to a flower.","['A bee lands on the flower', 'Their feet slip into little grooves that hold pollen sacs', 'When the bee flies off, it carries off the pollen sac', 'The bee lands on another plant', 'The pollen sac falls off and pollinates the plant', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:743:1921:205,1921,743,OUTOFPARA_DISTRACTOR,0,test,2,"A bee lands on the flower. Their feet slip into little grooves that hold pollen sacs. When the bee flies off, it carries off the pollen sac. The bee lands on another plant. The pollen sac falls off and pollinates the plant.","context: 1. a bee lands on the flower 2. their feet slip into little grooves that hold pollen sacs 3. when the bee flies off, it carries off the pollen sac 4. the bee lands on another plant 5. the pollen sac falls off and pollinates the plant 6.  question: suppose keeping the environment less clean happens how will it affect pollen sticks to a flower? options: a) more b) less c) no effect",no effect,wiqa,94,c) no effect,c,"if the environment is kept less clean, how will this affect the ability of pollen to adhere to a flower?",no effect,science,effect quantification,c) no effect (assuming the scenario provided remains the same and the only variable is the clean,c,1,"c) no effect (assuming ""less clean"" environment refers to the absence or reduction of cleaning",c,1
479,"suppose weather is good for growing tadpole food supply happens, how will it affect if the chemicals that break up the helix decrease.","['The dna strand of a cell decides to replicate', 'Chemicals in the strand break up the helix', 'The helix is split into two', 'The helix forms as the basis of a new dna strand', 'The cell replicates.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:1077:604:8,604,1077,OUTOFPARA_DISTRACTOR,0,test,2,The dna strand of a cell decides to replicate. Chemicals in the strand break up the helix. The helix is split into two. The helix forms as the basis of a new dna strand. The cell replicates.,context: 1. the dna strand of a cell decides to replicate 2. chemicals in the strand break up the helix 3. the helix is split into two 4. the helix forms as the basis of a new dna strand 5. the cell replicates. question: suppose weather is good for growing tadpole food supply happens how will it affect if the chemicals that break up the helix decrease? options: a) more b) less c) no effect,no effect,wiqa,106,c) no effect,c,"if the weather becomes more favorable for growing a tadpole's food supply, what effect will this have if the chemicals that break up the helix decrease?",no effect,science,effect quantification,c) no effect,c,1,c) no effect,c,1
