id,background,situation,question,answers,split,answer_label,input,output,task,input_length,output_text,preds,choice,is_correct
369101615,"The water cycle involves the exchange of energy, which leads to temperature changes. When water evaporates, it takes up energy from its surroundings and cools the environment. When it condenses, it releases energy and warms the environment. These heat exchanges influence climate.","The weather was crazy this week. On Monday, the lake had a inch of it evaporate. On Tuesday, there was massive condensation in the town. On Wednesday, the lake evaporated another inch. On Thursday, condensation was all over the town again. On Friday, the lake evaporated another inch. On Saturday, the town had a ton of condensation. On Sunday, the lake evaporate two inches.",Which day did the environment in the town have a higher warming: Tuesday or Sunday?,{'text': ['Tuesday']},test,Tuesday,"background: the water cycle involves the exchange of energy, which leads to temperature changes. when water evaporates, it takes up energy from its surroundings and cools the environment. when it condenses, it releases energy and warms the environment. these heat exchanges influence climate.
 situation: the weather was crazy this week. on monday, the lake had a inch of it evaporate. on tuesday, there was massive condensation in the town. on wednesday, the lake evaporated another inch. on thursday, condensation was all over the town again. on friday, the lake evaporated another inch. on saturday, the town had a ton of condensation. on sunday, the lake evaporate two inches.
 question: which day did the environment in the town have a higher warming: tuesday or sunday?",tuesday,ropes,162,tuesday,sunday,a,0
1286351913,"Regions on the Earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. High altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

At high altitude, atmospheric pressure is lower than that at sea level. This is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]","There was a competition for who can get their purple drone the highest into the air. Team A got it 2,511 ft. Team B got it 3,511 ft. Team C go it 4,511 ft. Team D got it 5,511 ft. Team E got it 10,511 ft. Team F got it 13,511 ft. Team G got it 14,511 ft. Team G won the contest and got a gold trophy as the prize.",What team got their drone into high altitude: Team A or Team G?,{'text': ['Team G']},test,Team G,"background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their purple drone the highest into the air. team a got it 2,511 ft. team b got it 3,511 ft. team c go it 4,511 ft. team d got it 5,511 ft. team e got it 10,511 ft. team f got it 13,511 ft. team g got it 14,511 ft. team g won the contest and got a gold trophy as the prize.
 question: what team got their drone into high altitude: team a or team g?",team g,ropes,240,team g,team g,a,1
397893096,"In common everyday speech, speed of sound refers to the speed of sound waves in air. However, the speed of sound varies from substance to substance: sound travels most slowly in gases; it travels faster in liquids; and faster still in solids. For example, (as noted above), sound travels at 343 m/s in air; it travels at 1,480 m/s in water (4.3 times as fast as in air); and at 5,120 m/s in iron (about 15 times as fast as in air). In an exceptionally stiff material such as diamond, sound travels at 12,000 metres per second (27,000 mph);[1] (about 35 times as fast as in air) which is around the maximum speed that sound will travel under normal conditions.","A popular radio station was playing the classic rock songs. There was a radio in a car with a lot of obstacles between the station. There was a fire with a lot of smoke, a river, and a mountain. The man driving the car had a great time listening to the classics.",Where was the radio signal traveling at the quickest speed: river or mountain?,{'text': ['mountain']},test,mountain,"background: in common everyday speech, speed of sound refers to the speed of sound waves in air. however, the speed of sound varies from substance to substance: sound travels most slowly in gases; it travels faster in liquids; and faster still in solids. for example, (as noted above), sound travels at 343 m/s in air; it travels at 1,480 m/s in water (4.3 times as fast as in air); and at 5,120 m/s in iron (about 15 times as fast as in air). in an exceptionally stiff material such as diamond, sound travels at 12,000 metres per second (27,000 mph);[1] (about 35 times as fast as in air) which is around the maximum speed that sound will travel under normal conditions.
 situation: a popular radio station was playing the classic rock songs. there was a radio in a car with a lot of obstacles between the station. there was a fire with a lot of smoke, a river, and a mountain. the man driving the car had a great time listening to the classics.
 question: where was the radio signal traveling at the quickest speed: river or mountain?",mountain,ropes,240,mountain,mountain,a,1
2643388677,"Storing large volumes of data – When storing XML to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, CPU load goes up as XML data takes more power to process, and storage costs go up. By storing XML data in Fast Infoset format, data volume may be reduced by as much as 80 percent.","Eliseo had a busy day storing XML. In the morning, he filled up many hard drives with XML. In the afternoon, he filled up a few hard drives with XML. At night, he filled up a hard drive with XML.",What time did storage costs go up the most: morning or night?,{'text': ['morning']},test,morning,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: eliseo had a busy day storing xml. in the morning, he filled up many hard drives with xml. in the afternoon, he filled up a few hard drives with xml. at night, he filled up a hard drive with xml.
 question: what time did storage costs go up the most: morning or night?",morning,ropes,183,morning,morning,a,1
1929467512,"Hepatitis B is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. Two different types of infection exist for this disease, ""acute"" and ""chronic."" Acute Hepatitis B is a short term illness that occurs within 6 months of exposure, Chronic Hepatitis B is long term and happens when the virus remains in the body. The younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. Approximately 90% of infected infants will develop a chronic infection.[3]","A 3rd grade classroom photo was held today. They all gathered by age. Lenny was the youngest. Connie was the 2nd youngest. Newton was the 3rd youngest. Amado was the 4th youngest. Dillon was the 5th youngest. Thanh was the 6th youngest. The last one was Frances, who was the oldest. They all looked great.",Who has a greater chance of developing a chronic infection: Amado or Lenny?,{'text': ['Lenny']},test,Lenny,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 3rd grade classroom photo was held today. they all gathered by age. lenny was the youngest. connie was the 2nd youngest. newton was the 3rd youngest. amado was the 4th youngest. dillon was the 5th youngest. thanh was the 6th youngest. the last one was frances, who was the oldest. they all looked great.
 question: who has a greater chance of developing a chronic infection: amado or lenny?",lenny,ropes,243,lenny,lenny,a,1
1764854390,"The example of someone having a positive experience with a drug is easy to see how drug dependence and the law of effect works. The tolerance for a drug goes up as one continues to use it after having a positive experience with a certain amount the first time.[38] It will take more and more to get that same feeling. This is when the controlled substance in an experiment would have to be modified and the experiment would really begin. The law of work for psychologist B. F. Skinner almost half a century later on the principles of operant conditioning, ""a learning process by which the effect, or consequence, of a response influences the future rate of production of that response.[39]","The Roach Runners met to discuss their experiences. They all said they always had a great experience using roach and used the same amount each time. They told how many times they used roach. Chris used it 12 times, Johnny used it 22 times, Earl used it 32 times, Jimmy used it 42 times, Antonio used it 52 times, Danny used it 62 times, and Bryan used it 72 times.",Who has a higher tolerance for roach: Chris or Jimmy?,{'text': ['Jimmy']},test,Jimmy,"background: the example of someone having a positive experience with a drug is easy to see how drug dependence and the law of effect works. the tolerance for a drug goes up as one continues to use it after having a positive experience with a certain amount the first time.[38] it will take more and more to get that same feeling. this is when the controlled substance in an experiment would have to be modified and the experiment would really begin. the law of work for psychologist b. f. skinner almost half a century later on the principles of operant conditioning, ""a learning process by which the effect, or consequence, of a response influences the future rate of production of that response.[39]
 situation: the roach runners met to discuss their experiences. they all said they always had a great experience using roach and used the same amount each time. they told how many times they used roach. chris used it 12 times, johnny used it 22 times, earl used it 32 times, jimmy used it 42 times, antonio used it 52 times, danny used it 62 times, and bryan used it 72 times.
 question: who has a higher tolerance for roach: chris or jimmy?",jimmy,ropes,249,jimmy,chris,c,0
2794068075,"Regions on the Earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. High altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

At high altitude, atmospheric pressure is lower than that at sea level. This is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]","There was a competition for who can get their yellow drone the highest into the air. Team 7 got it 3,335 ft. Team 8 got it 4,445 ft. Team 9 go it 5,565 ft. Team 10 got it 6,645 ft. Team 11 got it 11,635 ft. Team 12 got it 14,875 ft. Team 13 got it 15,895 ft.",What team got their drone into high altitude: Team 10 or Team 13?,{'text': ['Team 13']},test,Team 13,"background: regions on the earth's surface (or in its atmosphere) that are high above mean sea level are referred to as high altitude. high altitude is sometimes defined to begin at 2,400 meters (8,000 ft) above sea level.[5][6][7]

at high altitude, atmospheric pressure is lower than that at sea level. this is due to two competing physical effects: gravity, which causes the air to be as close as possible to the ground; and the heat content of the air, which causes the molecules to bounce off each other and expand.[8]
 situation: there was a competition for who can get their yellow drone the highest into the air. team 7 got it 3,335 ft. team 8 got it 4,445 ft. team 9 go it 5,565 ft. team 10 got it 6,645 ft. team 11 got it 11,635 ft. team 12 got it 14,875 ft. team 13 got it 15,895 ft.
 question: what team got their drone into high altitude: team 10 or team 13?",team 13,ropes,226,team 13,team 13,a,1
3270911291,"Hepatitis B is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. Two different types of infection exist for this disease, ""acute"" and ""chronic."" Acute Hepatitis B is a short term illness that occurs within 6 months of exposure, Chronic Hepatitis B is long term and happens when the virus remains in the body. The younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. Approximately 90% of infected infants will develop a chronic infection.[3]","A 4th grade classroom photo was held today. They all gathered by age. Eloy was the youngest, followed by Gail, and Josef was the oldest. They looked wonderful that day.",Who is most likely going to develop a chronic infection: Josef or Eloy?,{'text': ['Eloy']},test,Eloy,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 4th grade classroom photo was held today. they all gathered by age. eloy was the youngest, followed by gail, and josef was the oldest. they looked wonderful that day.
 question: who is most likely going to develop a chronic infection: josef or eloy?",eloy,ropes,198,eloy,eloy,a,1
594958168,"Hepatitis B is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. Two different types of infection exist for this disease, ""acute"" and ""chronic."" Acute Hepatitis B is a short term illness that occurs within 6 months of exposure, Chronic Hepatitis B is long term and happens when the virus remains in the body. The younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. Approximately 90% of infected infants will develop a chronic infection.[3]","A 3rd grade classroom photo was held today. They all gathered by age. Lenny was the youngest. Connie was the 2nd youngest. Newton was the 3rd youngest. Amado was the 4th youngest. Dillon was the 5th youngest. Thanh was the 6th youngest. The last one was Frances, who was the oldest. They all looked great.",Who has a greater chance of developing a chronic infection: Frances or Lenny?,{'text': ['Lenny']},test,Lenny,"background: hepatitis b is a contagious virus that affects the liver, infection can last from a few weeks to a serious lifelong illness. two different types of infection exist for this disease, ""acute"" and ""chronic."" acute hepatitis b is a short term illness that occurs within 6 months of exposure, chronic hepatitis b is long term and happens when the virus remains in the body. the younger the child is, the greater their chance of developing a chronic infection and this risk goes down as the child gets older. approximately 90% of infected infants will develop a chronic infection.[3]
 situation: a 3rd grade classroom photo was held today. they all gathered by age. lenny was the youngest. connie was the 2nd youngest. newton was the 3rd youngest. amado was the 4th youngest. dillon was the 5th youngest. thanh was the 6th youngest. the last one was frances, who was the oldest. they all looked great.
 question: who has a greater chance of developing a chronic infection: frances or lenny?",lenny,ropes,242,lenny,lenny,a,1
863968086,"Storing large volumes of data – When storing XML to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, CPU load goes up as XML data takes more power to process, and storage costs go up. By storing XML data in Fast Infoset format, data volume may be reduced by as much as 80 percent.","Leroy had a busy day storing XML. At 2 PM, he stored 21111 Gigabytes to the database. At 3 PM, he stored 32222 Gigabytes to the database. At 4 PM, he stored 43333 Gigabytes to the database. At 5 PM, he got dinner. At 6 PM, he stored 54444 Gigabytes to the database. At 7 PM, he stored 65555 Gigabytes to the database. At 8 PM, he went to sleep to finish storing XML in the morning.",What time did the access times go up: 4 PM or 8 PM?,{'text': ['4 PM']},test,4 PM,"background: storing large volumes of data – when storing xml to either file or database, the volume of data a system produces can often exceed reasonable limits, with a number of detriments: the access times go up as more data is read, cpu load goes up as xml data takes more power to process, and storage costs go up. by storing xml data in fast infoset format, data volume may be reduced by as much as 80 percent.
 situation: leroy had a busy day storing xml. at 2 pm, he stored 21111 gigabytes to the database. at 3 pm, he stored 32222 gigabytes to the database. at 4 pm, he stored 43333 gigabytes to the database. at 5 pm, he got dinner. at 6 pm, he stored 54444 gigabytes to the database. at 7 pm, he stored 65555 gigabytes to the database. at 8 pm, he went to sleep to finish storing xml in the morning.
 question: what time did the access times go up: 4 pm or 8 pm?",4 pm,ropes,252,4 pm,4 pm,a,1
