question_stem,question_para_step,answer_label,answer_label_as_choice,choices,metadata_question_id,metadata_graph_id,metadata_para_id,metadata_question_type,metadata_path_len,split,label,context,input,output,task,input_length,output_text,output_label,preds,choice,is_correct
"suppose less eggs hatch happens, how will it affect less flowers being pollinated.","['Bees land on flowers and eat the nectar of the plants', 'While on the flowers pollen gets on the bee&#x27;s fur', 'The bee flies to another area with other flowers', 'The pollen is deposited in that area', 'A plant is able to reproduce.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:744:1006:35,1006,744,OUTOFPARA_DISTRACTOR,0,test,2,Bees land on flowers and eat the nectar of the plants. While on the flowers pollen gets on the bee&#x27;s fur. The bee flies to another area with other flowers. The pollen is deposited in that area. A plant is able to reproduce.,context: 1. bees land on flowers and eat the nectar of the plants 2. while on the flowers pollen gets on the bee&#x27;s fur 3. the bee flies to another area with other flowers 4. the pollen is deposited in that area 5. a plant is able to reproduce. question: suppose less eggs hatch happens how will it affect less flowers being pollinated? options: a) more b) less c) no effect,no effect,wiqa,90,c) no effect,c,c) no effect,c,1
"suppose more frogs spawn happens, how will it affect more crops.","['The planter must select a crop', 'The soil is prepared properly for that specific crop', 'Fertilizer is added to the soil', 'Seeds are planted in the field', 'Irrigation is set up to keep the crops properly watered', 'The crops grow', 'The crops are harvested.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:321:346:228,346,321,OUTOFPARA_DISTRACTOR,0,test,2,The planter must select a crop. The soil is prepared properly for that specific crop. Fertilizer is added to the soil. Seeds are planted in the field. Irrigation is set up to keep the crops properly watered. The crops grow. The crops are harvested.,context: 1. the planter must select a crop 2. the soil is prepared properly for that specific crop 3. fertilizer is added to the soil 4. seeds are planted in the field 5. irrigation is set up to keep the crops properly watered 6. the crops grow 7. the crops are harvested. question: suppose more frogs spawn happens how will it affect more crops? options: a) more b) less c) no effect,no effect,wiqa,89,c) no effect,c,c) no effect,c,1
"suppose the government requires more ethanol to be used happens, how will it affect the farmer spreads more seeds.","['The farmer chooses a crop that will grow well in his region', 'The farmer tills the soil to loosen it', 'The farmer spreads seeds', 'The farmer tills again to plant the seeds', 'Crops grow.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:690:1350:91#0,1350,690,EXOGENOUS_EFFECT,3,test,0,The farmer chooses a crop that will grow well in his region. The farmer tills the soil to loosen it. The farmer spreads seeds. The farmer tills again to plant the seeds. Crops grow.,context: 1. the farmer chooses a crop that will grow well in his region 2. the farmer tills the soil to loosen it 3. the farmer spreads seeds 4. the farmer tills again to plant the seeds 5. crops grow. question: suppose the government requires more ethanol to be used happens how will it affect the farmer spreads more seeds? options: a) more b) less c) no effect,more,wiqa,82,a) more,a,c) no effect,c,0
"suppose weather harms the bees happens, how will it affect more pollen is deposited in those areas.","['Bees land on flowers and eat the nectar of the plants', 'While on the flowers pollen gets on the bee&#x27;s fur', 'The bee flies to another area with other flowers', 'The pollen is deposited in that area', 'A plant is able to reproduce.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:744:1010:117#2,1010,744,EXOGENOUS_EFFECT,3,test,1,Bees land on flowers and eat the nectar of the plants. While on the flowers pollen gets on the bee&#x27;s fur. The bee flies to another area with other flowers. The pollen is deposited in that area. A plant is able to reproduce.,context: 1. bees land on flowers and eat the nectar of the plants 2. while on the flowers pollen gets on the bee&#x27;s fur 3. the bee flies to another area with other flowers 4. the pollen is deposited in that area 5. a plant is able to reproduce. question: suppose weather harms the bees happens how will it affect more pollen is deposited in those areas? options: a) more b) less c) no effect,less,wiqa,97,b) less,b,b) less,b,1
"suppose there was an movement in tte earth happens, how will it affect smaller mountains.","['Movements of tectonic plates causes the creation of volcanoes', 'These volcanoes erupt', 'Volcanic mountains are formed from the eruption', 'Sometimes tectonic plates crash into one another or ride over one another', 'These plates sometimes fold and buckle, which forms Fold Mountains', 'Sometimes fault blocks are raised or tilted, and they form Block Mountains', '']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:116:795:148#0,795,116,EXOGENOUS_EFFECT,4,test,1,"Movements of tectonic plates causes the creation of volcanoes. These volcanoes erupt. Volcanic mountains are formed from the eruption. Sometimes tectonic plates crash into one another or ride over one another. These plates sometimes fold and buckle, which forms Fold Mountains. Sometimes fault blocks are raised or tilted, and they form Block Mountains.","context: 1. movements of tectonic plates causes the creation of volcanoes 2. these volcanoes erupt 3. volcanic mountains are formed from the eruption 4. sometimes tectonic plates crash into one another or ride over one another 5. these plates sometimes fold and buckle, which forms fold mountains 6. sometimes fault blocks are raised or tilted, and they form block mountains 7.  question: suppose there was an movement in tte earth happens how will it affect smaller mountains? options: a) more b) less c) no effect",less,wiqa,108,b) less,b,b) less,b,1
"suppose there is a very cold snap happens, how will it affect more food will be needed.","['A frog lays eggs in the water', 'Tadpoles develop inside of the eggs', 'The eggs hatch', 'The tadpoles eat and grow', 'The tadpoles grow legs and form into frogs', 'The frogs leave the water.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:515:457:56#0,457,515,EXOGENOUS_EFFECT,3,test,0,A frog lays eggs in the water. Tadpoles develop inside of the eggs. The eggs hatch. The tadpoles eat and grow. The tadpoles grow legs and form into frogs. The frogs leave the water.,context: 1. a frog lays eggs in the water 2. tadpoles develop inside of the eggs 3. the eggs hatch 4. the tadpoles eat and grow 5. the tadpoles grow legs and form into frogs 6. the frogs leave the water. question: suppose there is a very cold snap happens how will it affect more food will be needed? options: a) more b) less c) no effect,more,wiqa,94,a) more,a,b) less,b,0
"suppose less tadpoles develop front legs happens, how will it affect more frogs will be alive.","['The frog eggs hatch', 'The tadpole breaks free', 'Slowly, the gills disappear over the next 6 weeks', 'The hind legs begin to form at 8 weeks', 'The front legs form at 12 weeks', 'The tail shrinks', 'The mouth grows larger', 'The tadpole can live on land as a frog', '']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:517:1825:150#1,1825,517,INPARA_EFFECT,2,test,1,"The frog eggs hatch. The tadpole breaks free. Slowly, the gills disappear over the next 6 weeks. The hind legs begin to form at 8 weeks. The front legs form at 12 weeks. The tail shrinks. The mouth grows larger. The tadpole can live on land as a frog.","context: 1. the frog eggs hatch 2. the tadpole breaks free 3. slowly, the gills disappear over the next 6 weeks 4. the hind legs begin to form at 8 weeks 5. the front legs form at 12 weeks 6. the tail shrinks 7. the mouth grows larger 8. the tadpole can live on land as a frog 9.  question: suppose less tadpoles develop front legs happens how will it affect more frogs will be alive? options: a) more b) less c) no effect",less,wiqa,111,b) less,b,b) less,b,1
"suppose bodies of water are polluted happens, how will it affect less fish.","['Fish lays eggs', 'Eggs hatch', 'Tiny fish called fry emerge', 'Fry eat and grow', 'Fry become adult fish', 'Fish mate and more eggs are produced.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:640:1162:6#0,1162,640,EXOGENOUS_EFFECT,4,test,0,Fish lays eggs. Eggs hatch. Tiny fish called fry emerge. Fry eat and grow. Fry become adult fish. Fish mate and more eggs are produced.,context: 1. fish lays eggs 2. eggs hatch 3. tiny fish called fry emerge 4. fry eat and grow 5. fry become adult fish 6. fish mate and more eggs are produced. question: suppose bodies of water are polluted happens how will it affect less fish? options: a) more b) less c) no effect,more,wiqa,66,a) more,a,b) less,b,0
"suppose more frogs are made happens, how will it affect a more intense water cycle.","['Water from oceans, lakes, rivers, swamps, and plants turns into water vapor', 'Water vapor forms droplets in clouds', 'Water droplets in clouds become rain or snow and fall', 'Some water goes into the ground', 'Some water flows down streams into rivers and oceans', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:14:911:68,911,14,OUTOFPARA_DISTRACTOR,0,test,2,"Water from oceans, lakes, rivers, swamps, and plants turns into water vapor. Water vapor forms droplets in clouds. Water droplets in clouds become rain or snow and fall. Some water goes into the ground. Some water flows down streams into rivers and oceans.","context: 1. water from oceans, lakes, rivers, swamps, and plants turns into water vapor 2. water vapor forms droplets in clouds 3. water droplets in clouds become rain or snow and fall 4. some water goes into the ground 5. some water flows down streams into rivers and oceans 6.  question: suppose more frogs are made happens how will it affect a more intense water cycle? options: a) more b) less c) no effect",no effect,wiqa,91,c) no effect,c,c) no effect,c,1
"suppose more global warming causes less rain happens, how will it affect temperatures are more moderate and even.","['The farmer chooses a crop that will grow well in his region', 'The farmer tills the soil to loosen it', 'The farmer spreads seeds', 'The farmer tills again to plant the seeds', 'Crops grow.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:690:1347:9#1,1347,690,EXOGENOUS_EFFECT,3,test,1,The farmer chooses a crop that will grow well in his region. The farmer tills the soil to loosen it. The farmer spreads seeds. The farmer tills again to plant the seeds. Crops grow.,context: 1. the farmer chooses a crop that will grow well in his region 2. the farmer tills the soil to loosen it 3. the farmer spreads seeds 4. the farmer tills again to plant the seeds 5. crops grow. question: suppose more global warming causes less rain happens how will it affect temperatures are more moderate and even? options: a) more b) less c) no effect,less,wiqa,79,b) less,b,b) less,b,1
"suppose more tadpoles are eaten by predators before their front legs grow happens, how will it affect more frogs.","['The frog eggs hatch', 'The tadpole breaks free', 'Slowly, the gills disappear over the next 6 weeks', 'The hind legs begin to form at 8 weeks', 'The front legs form at 12 weeks', 'The tail shrinks', 'The mouth grows larger', 'The tadpole can live on land as a frog', '']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:517:1825:147#0,1825,517,EXOGENOUS_EFFECT,4,test,1,"The frog eggs hatch. The tadpole breaks free. Slowly, the gills disappear over the next 6 weeks. The hind legs begin to form at 8 weeks. The front legs form at 12 weeks. The tail shrinks. The mouth grows larger. The tadpole can live on land as a frog.","context: 1. the frog eggs hatch 2. the tadpole breaks free 3. slowly, the gills disappear over the next 6 weeks 4. the hind legs begin to form at 8 weeks 5. the front legs form at 12 weeks 6. the tail shrinks 7. the mouth grows larger 8. the tadpole can live on land as a frog 9.  question: suppose more tadpoles are eaten by predators before their front legs grow happens how will it affect more frogs? options: a) more b) less c) no effect",less,wiqa,115,b) less,b,b) less,b,1
"suppose the liquid will be set a warmer temperature happens, how will it affect less evaporation.","['A liquid is heated from an external source', 'The heat causes the molecules in the liquid to increase in energy', 'As the molecules absorb more energy, they start to move faster', 'As the molecules are moving faster they are increasing in temperature', 'When the molecules reach a certain temperature, the boiling point, they change from liquid to gas state', 'As the liquid molecules go into a gaseous state, they float out into the atmosphere', 'When all the liquid has turned to gas, it has evaporated completely, leaving no liquid behind', '']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:671:1514:158#0,1514,671,INPARA_EFFECT,3,test,1,"A liquid is heated from an external source. The heat causes the molecules in the liquid to increase in energy. As the molecules absorb more energy, they start to move faster. As the molecules are moving faster they are increasing in temperature. When the molecules reach a certain temperature, the boiling point, they change from liquid to gas state. As the liquid molecules go into a gaseous state, they float out into the atmosphere. When all the liquid has turned to gas, it has evaporated completely, leaving no liquid behind.","context: 1. a liquid is heated from an external source 2. the heat causes the molecules in the liquid to increase in energy 3. as the molecules absorb more energy, they start to move faster 4. as the molecules are moving faster they are increasing in temperature 5. when the molecules reach a certain temperature, the boiling point, they change from liquid to gas state 6. as the liquid molecules go into a gaseous state, they float out into the atmosphere 7. when all the liquid has turned to gas, it has evaporated completely, leaving no liquid behind 8.  question: suppose the liquid will be set a warmer temperature happens how will it affect less evaporation? options: a) more b) less c) no effect",less,wiqa,140,b) less,b,b) less,b,1
"suppose less bees visits a flower happens, how will it affect fewer fish can lay more eggs.","['Fish start as eggs', 'The eggs hatch', 'A larvae emerges', 'The larvae matures and grows', 'The larvae becomes an &#x27;adolescent&#x27; fish (or fry)', 'The adolescent fish grows', 'The fish might go through several sub-stages, depend on its species or type', 'The fish is now a mature adult', 'The adult fish can lay more eggs', '']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:519:1940:15,1940,519,OUTOFPARA_DISTRACTOR,0,test,2,"Fish start as eggs. The eggs hatch. A larvae emerges. The larvae matures and grows. The larvae becomes an &#x27;adolescent&#x27; fish (or fry). The adolescent fish grows. The fish might go through several sub-stages, depend on its species or type. The fish is now a mature adult. The adult fish can lay more eggs.","context: 1. fish start as eggs 2. the eggs hatch 3. a larvae emerges 4. the larvae matures and grows 5. the larvae becomes an &#x27;adolescent&#x27; fish (or fry) 6. the adolescent fish grows 7. the fish might go through several sub-stages, depend on its species or type 8. the fish is now a mature adult 9. the adult fish can lay more eggs 10.  question: suppose less bees visits a flower happens how will it affect fewer fish can lay more eggs? options: a) more b) less c) no effect",no effect,wiqa,114,c) no effect,c,c) no effect,c,1
"suppose there is more magma happens, how will it affect more magma solidifies.","['Magma rises to the surface during a volcano', 'The magma undergoes changes in temperature', 'The magma undergoes changes in pressure', 'The magma cools', 'The magma solidifies', 'The magma crystallizes', 'Igneous rock is formed.']",less,B,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:36:1093:90#1,1093,36,EXOGENOUS_EFFECT,3,test,1,Magma rises to the surface during a volcano. The magma undergoes changes in temperature. The magma undergoes changes in pressure. The magma cools. The magma solidifies. The magma crystallizes. Igneous rock is formed.,context: 1. magma rises to the surface during a volcano 2. the magma undergoes changes in temperature 3. the magma undergoes changes in pressure 4. the magma cools 5. the magma solidifies 6. the magma crystallizes 7. igneous rock is formed. question: suppose there is more magma happens how will it affect more magma solidifies? options: a) more b) less c) no effect,less,wiqa,95,b) less,b,a) more,a,0
"suppose fish cannot find suitable places to lay eggs due to pollution happens, how will it affect fewer ridges are created.","['Tectonic plates smash together', 'The edges of the plates crumple up', 'The ridges are mountain ranges', 'Magma is forced to the surface', 'Magma forms a volcano.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:115:2083:218,2083,115,OUTOFPARA_DISTRACTOR,0,test,2,Tectonic plates smash together. The edges of the plates crumple up. The ridges are mountain ranges. Magma is forced to the surface. Magma forms a volcano.,context: 1. tectonic plates smash together 2. the edges of the plates crumple up 3. the ridges are mountain ranges 4. magma is forced to the surface 5. magma forms a volcano. question: suppose fish cannot find suitable places to lay eggs due to pollution happens how will it affect fewer ridges are created? options: a) more b) less c) no effect,no effect,wiqa,81,c) no effect,c,c) no effect,c,1
"suppose the farmer tills less soil happens, how will it affect crust is pushed above the ground.","['Tectonic plates smash together', 'The edges of the plates crumple up', 'The ridges are mountain ranges', 'Magma is forced to the surface', 'Magma forms a volcano.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:115:2080:96,2080,115,OUTOFPARA_DISTRACTOR,0,test,2,Tectonic plates smash together. The edges of the plates crumple up. The ridges are mountain ranges. Magma is forced to the surface. Magma forms a volcano.,context: 1. tectonic plates smash together 2. the edges of the plates crumple up 3. the ridges are mountain ranges 4. magma is forced to the surface 5. magma forms a volcano. question: suppose the farmer tills less soil happens how will it affect crust is pushed above the ground? options: a) more b) less c) no effect,no effect,wiqa,76,c) no effect,c,c) no effect,c,1
"suppose there is more acids in the liver happens, how will it affect more fish.","['A female fish lays eggs', 'Larvae hatch from the eggs', 'The larvae eat and grow', 'The larvae form into juvenile fish', 'The juvenile fish grow into adult fish', 'The adult fish mate', 'The female fish lays eggs.']",no_effect,C,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",out_of_para:520:1051:144,1051,520,OUTOFPARA_DISTRACTOR,0,test,2,A female fish lays eggs. Larvae hatch from the eggs. The larvae eat and grow. The larvae form into juvenile fish. The juvenile fish grow into adult fish. The adult fish mate. The female fish lays eggs.,context: 1. a female fish lays eggs 2. larvae hatch from the eggs 3. the larvae eat and grow 4. the larvae form into juvenile fish 5. the juvenile fish grow into adult fish 6. the adult fish mate 7. the female fish lays eggs. question: suppose there is more acids in the liver happens how will it affect more fish? options: a) more b) less c) no effect,no effect,wiqa,80,c) no effect,c,c) no effect,c,1
"suppose more fish get disease happens, how will it affect there will be less fish to reproduce.","['An adult fish lays eggs', 'The eggs incubate for a few weeks or months before hatching', 'The young fish remain where they hatched until they are big enough to venture into the open water', 'The fish continue to grow', 'The fish reach adulthood', 'Reproduce continuing the cycle.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:518:462:37#1,462,518,EXOGENOUS_EFFECT,3,test,0,An adult fish lays eggs. The eggs incubate for a few weeks or months before hatching. The young fish remain where they hatched until they are big enough to venture into the open water. The fish continue to grow. The fish reach adulthood. Reproduce continuing the cycle.,context: 1. an adult fish lays eggs 2. the eggs incubate for a few weeks or months before hatching 3. the young fish remain where they hatched until they are big enough to venture into the open water 4. the fish continue to grow 5. the fish reach adulthood 6. reproduce continuing the cycle. question: suppose more fish get disease happens how will it affect there will be less fish to reproduce? options: a) more b) less c) no effect,more,wiqa,94,a) more,a,b) less,b,0
"suppose less fish eat frogs happens, how will it affect more tadpoles develope limbs.","['The frog&#x27;s egg hatches and a tadpole is born', 'The tadpole swims with its siblings and tries to survive', 'The tadpole grows larger', 'The tadpole loses its tail', 'The tadpole develops limbs', 'And the tadpole now becomes a frog.']",more,A,"{'text': ['more', 'less', 'no effect'], 'label': ['A', 'B', 'C']}",influence_graph:643:1697:56#3,1697,643,EXOGENOUS_EFFECT,3,test,0,The frog&#x27;s egg hatches and a tadpole is born. The tadpole swims with its siblings and tries to survive. The tadpole grows larger. The tadpole loses its tail. The tadpole develops limbs. And the tadpole now becomes a frog.,context: 1. the frog&#x27;s egg hatches and a tadpole is born 2. the tadpole swims with its siblings and tries to survive 3. the tadpole grows larger 4. the tadpole loses its tail 5. the tadpole develops limbs 6. and the tadpole now becomes a frog. question: suppose less fish eat frogs happens how will it affect more tadpoles develope limbs? options: a) more b) less c) no effect,more,wiqa,124,a) more,a,b) less,b,0
