task,is_correct,domain_label,question_type,input,input,output_text,preds
anli,0,social,cause prediction,context: observation 1. darcy failed two classes in school. observation 2. soon darcy was allowed to go out with her friends again. question: what is the most plausible hypothesis? options: a) darcys parents punished her until she picked her grades up b) darcys parents kicked her out until she picked her grades up,context: observation 1. darcy failed two classes in school. observation 2. soon darcy was allowed to go out with her friends again. question: what is the most plausible hypothesis? options: a) darcys parents punished her until she picked her grades up b) darcys parents kicked her out until she picked her grades up,a) darcys parents punished her until she picked her grades up,b) darcys parents kicked her out until she picked her grades up
anli,0,commonsense,cause prediction,context: observation 1. my mom asked for the car keys. observation 2. we requested a plumber to remove the pipe in order to get it. question: what is the most plausible hypothesis? options: a) my mom then started the car b) i threw the keys and they fell in the toilet,context: observation 1. my mom asked for the car keys. observation 2. we requested a plumber to remove the pipe in order to get it. question: what is the most plausible hypothesis? options: a) my mom then started the car b) i threw the keys and they fell in the toilet,b) i threw the keys and they fell in the toilet,a) my mom then started the car
anli,0,science,cause prediction,context: observation 1. harry was making some spaghetti. observation 2. a few minutes later they saw that the colander had melted. question: what is the most plausible hypothesis? options: a) harry used a metal colander b) henry failed at it,context: observation 1. harry was making some spaghetti. observation 2. a few minutes later they saw that the colander had melted. question: what is the most plausible hypothesis? options: a) harry used a metal colander b) henry failed at it,b) henry failed at it,a) harry used a metal colander
anli,1,commonsense,effect prediction,"context: observation 1. michael ordered a pepperoni pizza. observation 2. while on the phone, his wife said that he opened the box backwards. question: what is the most plausible hypothesis? options: a) michael accepted the pizza but it never arrived b) michael accepted the pizza when it arrived","context: observation 1. michael ordered a pepperoni pizza. observation 2. while on the phone, his wife said that he opened the box backwards. question: what is the most plausible hypothesis? options: a) michael accepted the pizza but it never arrived b) michael accepted the pizza when it arrived",b) michael accepted the pizza when it arrived,b) michael accepted the pizza when it arrived
anli,0,social,cause prediction,"context: observation 1. i used to procrastinate about studying. observation 2. now, i never procrastinate studying. question: what is the most plausible hypothesis? options: a) i failed a big test b) after getting a good grade i learned an easy lesson","context: observation 1. i used to procrastinate about studying. observation 2. now, i never procrastinate studying. question: what is the most plausible hypothesis? options: a) i failed a big test b) after getting a good grade i learned an easy lesson",a) i failed a big test,b) after getting a good grade i learned an easy lesson
anli,1,commonsense,cause prediction,context: observation 1. lulu felt so preoccupied lately. observation 2. but she was prepared to send her because the school was excellent. question: what is the most plausible hypothesis? options: a) lulus daughter was going to go to school for the first time b) lulus mom was thinking of sending her to a new house despite her objections,context: observation 1. lulu felt so preoccupied lately. observation 2. but she was prepared to send her because the school was excellent. question: what is the most plausible hypothesis? options: a) lulus daughter was going to go to school for the first time b) lulus mom was thinking of sending her to a new house despite her objections,a) lulus daughter was going to go to school for the first time,a) lulus daughter was going to go to school for the first time
anli,0,commonsense,cause prediction,context: observation 1. matt wanted to go back in time. observation 2. he never succeeded because time travel is probably impossible. question: what is the most plausible hypothesis? options: a) matt had a drug problem but decided to try to build a time machine b) he built a time machine and went back to 1800,context: observation 1. matt wanted to go back in time. observation 2. he never succeeded because time travel is probably impossible. question: what is the most plausible hypothesis? options: a) matt had a drug problem but decided to try to build a time machine b) he built a time machine and went back to 1800,a) matt had a drug problem but decided to try to build a time machine,b) he built a time machine and went back to 1800
anli,0,commonsense,effect comparison,"context: observation 1. fred decided to walk home from school one day. observation 2. luckily, he ran into a classmate who invited him inside. question: what is the most plausible hypothesis? options: a) it started down pouring b) it was sunny out","context: observation 1. fred decided to walk home from school one day. observation 2. luckily, he ran into a classmate who invited him inside. question: what is the most plausible hypothesis? options: a) it started down pouring b) it was sunny out",a) it started down pouring,b) it was sunny out
anli,1,commonsense,cause prediction,context: observation 1. joe and rafael wanted to see who can cook better wings. observation 2. the family agreed that joe's wings were better. question: what is the most plausible hypothesis? options: a) joe and rafael had a danceoff in the backyard b) joe and rafael had a cook off later that week,context: observation 1. joe and rafael wanted to see who can cook better wings. observation 2. the family agreed that joe's wings were better. question: what is the most plausible hypothesis? options: a) joe and rafael had a danceoff in the backyard b) joe and rafael had a cook off later that week,b) joe and rafael had a cook off later that week,b) joe and rafael had a cook off
anli,1,commonsense,cause prediction,context: observation 1. nita was playing rummy with her dad. observation 2. nita was so happy she finally beat her dad at rummy. question: what is the most plausible hypothesis? options: a) nita practiced playing rummy with a dog b) nita was never able to beat her dad,context: observation 1. nita was playing rummy with her dad. observation 2. nita was so happy she finally beat her dad at rummy. question: what is the most plausible hypothesis? options: a) nita practiced playing rummy with a dog b) nita was never able to beat her dad,b) nita was never able to beat her dad,b) nita was never able to beat her dad
anli,1,commonsense,cause prediction,context: observation 1. ed the waiter took an order from a table. observation 2. the man inspected one to see if it was crispy enough and it was. question: what is the most plausible hypothesis? options: a) the patron requested extra crispy fries b) the waiter brought salad,context: observation 1. ed the waiter took an order from a table. observation 2. the man inspected one to see if it was crispy enough and it was. question: what is the most plausible hypothesis? options: a) the patron requested extra crispy fries b) the waiter brought salad,a) the patron requested extra crispy fries,a) the patron requested extra crispy fries
anli,0,science,cause prediction,context: observation 1. tom wanted to start a garden in his backyard. observation 2. now his plants are starting to grow different fruits! question: what is the most plausible hypothesis? options: a) he used a raised bed with fertilizer b) tom decided to plant vegetables,context: observation 1. tom wanted to start a garden in his backyard. observation 2. now his plants are starting to grow different fruits! question: what is the most plausible hypothesis? options: a) he used a raised bed with fertilizer b) tom decided to plant vegetables,a) he used a raised bed with fertilizer,b) tom decided to plant vegetables
anli,1,commonsense,effect comparison,context: observation 1. lydia had a strange dream last night. observation 2. lydia wished the dream were real. question: what is the most plausible hypothesis? options: a) in lydias dream she was poor and lonely b) in lydias dream she was rich and famous,context: observation 1. lydia had a strange dream last night. observation 2. lydia wished the dream were real. question: what is the most plausible hypothesis? options: a) in lydias dream she was poor and lonely b) in lydias dream she was rich and famous,b) in lydias dream she was rich and famous,b) in lydias dream she was rich and famous
anli,1,social,cause prediction,context: observation 1. ian was playing an online game. observation 2. but he didn't feel any better. question: what is the most plausible hypothesis? options: a) ian took off from school for being sick and played all day b) one of mikes friends was defending him from some players who were talking trash,context: observation 1. ian was playing an online game. observation 2. but he didn't feel any better. question: what is the most plausible hypothesis? options: a) ian took off from school for being sick and played all day b) one of mikes friends was defending him from some players who were talking trash,a) ian took off from school for being sick and played all day,a) ian took off from school for being sick and played all day
anli,0,commonsense,cause prediction,context: observation 1. al couldn't hear anything out of his new headphones. observation 2. they told al that the headphone jack was turned off. question: what is the most plausible hypothesis? options: a) al called customer support b) the employees complained to al,context: observation 1. al couldn't hear anything out of his new headphones. observation 2. they told al that the headphone jack was turned off. question: what is the most plausible hypothesis? options: a) al called customer support b) the employees complained to al,a) al called customer support,b) the employees complained to al
anli,1,social,effect prediction,context: observation 1. alana was traveling with the the girls to the islands. observation 2. it was supposed to be a girls trip and the husband wasn't welcome. question: what is the most plausible hypothesis? options: a) one of alanas friends left her husband behind b) their husbands were not invited,context: observation 1. alana was traveling with the the girls to the islands. observation 2. it was supposed to be a girls trip and the husband wasn't welcome. question: what is the most plausible hypothesis? options: a) one of alanas friends left her husband behind b) their husbands were not invited,b) their husbands were not invited,b) their husbands were not invited
anli,0,commonsense,cause prediction,context: observation 1. mark was with his son at the library. observation 2. mark thanked the man as his son picked a toy. question: what is the most plausible hypothesis? options: a) the librarian showed marks son some toys b) a stranger dropped a toy and mark told him,context: observation 1. mark was with his son at the library. observation 2. mark thanked the man as his son picked a toy. question: what is the most plausible hypothesis? options: a) the librarian showed marks son some toys b) a stranger dropped a toy and mark told him,a) the librarian showed marks son some toys,b) a stranger dropped a toy and mark told him
anli,1,commonsense,effect prediction,context: observation 1. bart is five and he loves trucks. observation 2. this mythic item is the amazing dump truck that he plays with. question: what is the most plausible hypothesis? options: a) bart calls his favorite truck the mythic item b) bart thinks his toy ball is mythic,context: observation 1. bart is five and he loves trucks. observation 2. this mythic item is the amazing dump truck that he plays with. question: what is the most plausible hypothesis? options: a) bart calls his favorite truck the mythic item b) bart thinks his toy ball is mythic,a) bart calls his favorite truck the mythic item,a) bart calls his favorite truck the mythic item
anli,1,commonsense,effect comparison,context: observation 1. i entered an egg race once. observation 2. i finished third in the race. question: what is the most plausible hypothesis? options: a) i did my best to cook the egg b) i did not win it,context: observation 1. i entered an egg race once. observation 2. i finished third in the race. question: what is the most plausible hypothesis? options: a) i did my best to cook the egg b) i did not win it,b) i did not win it,b) i did not win it
anli,1,commonsense,cause prediction,context: observation 1. maria went swimming into in the ocean. observation 2. neal dived in the water to get her. question: what is the most plausible hypothesis? options: a) she got swept away by a small current b) maria went in too far and needed help,context: observation 1. maria went swimming into in the ocean. observation 2. neal dived in the water to get her. question: what is the most plausible hypothesis? options: a) she got swept away by a small current b) maria went in too far and needed help,b) maria went in too far and needed help,b) maria went in too far and needed help
anli,1,social,cause prediction,"context: observation 1. bill's ambition was to be a lawyer. observation 2. after winning money from his lawsuit, he no longer needed a job. question: what is the most plausible hypothesis? options: a) bill went to law school to be a lawyer b) bill went to law school to be a bailiff","context: observation 1. bill's ambition was to be a lawyer. observation 2. after winning money from his lawsuit, he no longer needed a job. question: what is the most plausible hypothesis? options: a) bill went to law school to be a lawyer b) bill went to law school to be a bailiff",a) bill went to law school to be a lawyer,a) bill went to law school to be a lawyer
anli,1,commonsense,effect prediction,context: observation 1. fred and his girlfriend rose were happy it was valentine's day. observation 2. the two then went for a walk in the park. question: what is the most plausible hypothesis? options: a) fred and his girlfriend broke up b) fred and his girlfriend went to dinner,context: observation 1. fred and his girlfriend rose were happy it was valentine's day. observation 2. the two then went for a walk in the park. question: what is the most plausible hypothesis? options: a) fred and his girlfriend broke up b) fred and his girlfriend went to dinner,b) fred and his girlfriend went to dinner,b) fred and his girlfriend went to dinner
anli,1,commonsense,effect prediction,context: observation 1. i was at work when it started snowing. observation 2. we had a lazy snow day. question: what is the most plausible hypothesis? options: a) by the afternoon the office was closed on account of the weather b) my boss kept up from going home,context: observation 1. i was at work when it started snowing. observation 2. we had a lazy snow day. question: what is the most plausible hypothesis? options: a) by the afternoon the office was closed on account of the weather b) my boss kept up from going home,a) by the afternoon the office was closed on account of the weather,a) by the afternoon the office was closed on account of the weather
anli,0,social,effect prediction,"context: observation 1. i invited my two male friends over to fix my car. observation 2. i was so shocked, i immediately kicked both of them out. question: what is the most plausible hypothesis? options: a) they were kissing when i walked back outside b) they both didnt know how to fix it","context: observation 1. i invited my two male friends over to fix my car. observation 2. i was so shocked, i immediately kicked both of them out. question: what is the most plausible hypothesis? options: a) they were kissing when i walked back outside b) they both didnt know how to fix it",a) they were kissing when i walked back outside,b) they both didnt know how to fix it
anli,1,social,cause prediction,"context: observation 1. jason went to a soup kitchen to get some food. observation 2. after eating, jason realized the kitchen does need more cultural. question: what is the most plausible hypothesis? options: a) the soup was very spicy b) the soup was very bland","context: observation 1. jason went to a soup kitchen to get some food. observation 2. after eating, jason realized the kitchen does need more cultural. question: what is the most plausible hypothesis? options: a) the soup was very spicy b) the soup was very bland",b) the soup was very bland,b) the soup was very bland
anli,1,social,cause prediction,context: observation 1. the high school hired a new football coach. observation 2. the new coach was soon fired. question: what is the most plausible hypothesis? options: a) the new football coachs wife called his player names b) the coach lost every game,context: observation 1. the high school hired a new football coach. observation 2. the new coach was soon fired. question: what is the most plausible hypothesis? options: a) the new football coachs wife called his player names b) the coach lost every game,b) the coach lost every game,b) the coach lost every game
anli,0,social,effect prediction,context: observation 1. ryan wanted to treat his friends. observation 2. everyone liked it. question: what is the most plausible hypothesis? options: a) ryan invited his closest friends to the restaurant and treated them to lunch b) ryan took them to his favorite restaurant for dinner,context: observation 1. ryan wanted to treat his friends. observation 2. everyone liked it. question: what is the most plausible hypothesis? options: a) ryan invited his closest friends to the restaurant and treated them to lunch b) ryan took them to his favorite restaurant for dinner,b) ryan took them to his favorite restaurant for dinner,a) ryan invited his closest friends to the restaurant and treated them to lunch
anli,1,commonsense,cause prediction,context: observation 1. it was amy's first day in the first grade. observation 2. amy felt like a big kid for the first time. question: what is the most plausible hypothesis? options: a) amy walked to school with her parents b) amy walked to school with her little sister,context: observation 1. it was amy's first day in the first grade. observation 2. amy felt like a big kid for the first time. question: what is the most plausible hypothesis? options: a) amy walked to school with her parents b) amy walked to school with her little sister,b) amy walked to school with her little sister,b) amy walked to school with her little sister
anli,0,commonsense,effect prediction,"context: observation 1. bee was digging in his backyard. observation 2. he did, however, find three dimes and a bottle cap! question: what is the most plausible hypothesis? options: a) he did not find any relics for his history class b) bee found a treasure he was looking for","context: observation 1. bee was digging in his backyard. observation 2. he did, however, find three dimes and a bottle cap! question: what is the most plausible hypothesis? options: a) he did not find any relics for his history class b) bee found a treasure he was looking for",a) he did not find any relics for his history class,b) bee found a treasure he was looking for
anli,0,social,cause prediction,context: observation 1. max woke up one christmas morning. observation 2. max hugged his dad and started to cry. question: what is the most plausible hypothesis? options: a) max discovered his dad hadnt been able to make it home for the holiday b) max got a bike,context: observation 1. max woke up one christmas morning. observation 2. max hugged his dad and started to cry. question: what is the most plausible hypothesis? options: a) max discovered his dad hadnt been able to make it home for the holiday b) max got a bike,b) max got a bike,a) max discovered his dad hadnt been able to make it home for the holiday
anli,0,commonsense,effect prediction,context: observation 1. bob decided to hike in the jungles of indonesia. observation 2. bob had always been reckless. question: what is the most plausible hypothesis? options: a) bob decided to turn back when he realized he wasnt properly equipped for the hike b) bob forgot to bring a canteen and died of dehydration,context: observation 1. bob decided to hike in the jungles of indonesia. observation 2. bob had always been reckless. question: what is the most plausible hypothesis? options: a) bob decided to turn back when he realized he wasnt properly equipped for the hike b) bob forgot to bring a canteen and died of dehydration,b) bob forgot to bring a canteen and died of dehydration,a) bob decided to turn back when he realized he wasnt properly equipped
anli,0,commonsense,cause prediction,context: observation 1. a man went to a katare school to take lessons. observation 2. the sensei blocked the attack and punched the foolish man. question: what is the most plausible hypothesis? options: a) the sensei fought the man b) the man fought the sen,context: observation 1. a man went to a katare school to take lessons. observation 2. the sensei blocked the attack and punched the foolish man. question: what is the most plausible hypothesis? options: a) the sensei fought the man b) the man fought the sen,b) the man fought the sen,a) the sensei fought the man
anli,1,social,cause prediction,context: observation 1. audrey was afraid to try new foods. observation 2. audrey surprisingly fell in love with their restaurant and food. question: what is the most plausible hypothesis? options: a) audrey decided to work up the courage to try a new store near her house b) audrey went to a new style of restaurant,context: observation 1. audrey was afraid to try new foods. observation 2. audrey surprisingly fell in love with their restaurant and food. question: what is the most plausible hypothesis? options: a) audrey decided to work up the courage to try a new store near her house b) audrey went to a new style of restaurant,b) audrey went to a new style of restaurant,b) audrey went to a new style of restaurant
anli,1,commonsense,effect comparison,"context: observation 1. joe was running late for school. observation 2. joe had a tasty, healthy breakfast of apples and bananas! question: what is the most plausible hypothesis? options: a) joe had plenty of time to cook something b) joe didnt have time to cook something","context: observation 1. joe was running late for school. observation 2. joe had a tasty, healthy breakfast of apples and bananas! question: what is the most plausible hypothesis? options: a) joe had plenty of time to cook something b) joe didnt have time to cook something",b) joe didnt have time to cook something,b) joe didnt have time to cook something
anli,0,social,effect prediction,"context: observation 1. gina had a crush on jamie and josh. observation 2. gina wasn't sure if it was good advice, or sabotage. question: what is the most plausible hypothesis? options: a) ginas friend said she should talk to both b) ginas friend told her to tell them both the combination at the same time and let them fight over her","context: observation 1. gina had a crush on jamie and josh. observation 2. gina wasn't sure if it was good advice, or sabotage. question: what is the most plausible hypothesis? options: a) ginas friend said she should talk to both b) ginas friend told her to tell them both the combination at the same time and let them fight over her",a) ginas friend said she should talk to both,b) ginas friend told her to tell them both the combination at the same time
anli,1,social,effect comparison,context: observation 1. joy was jealous when she didn't get an invitation to a sleep-over. observation 2. but joy's mom heard of the infestation and made her clean the house. question: what is the most plausible hypothesis? options: a) joys house was a sad place to be b) the sleep over was canceled after lice was found,context: observation 1. joy was jealous when she didn't get an invitation to a sleep-over. observation 2. but joy's mom heard of the infestation and made her clean the house. question: what is the most plausible hypothesis? options: a) joys house was a sad place to be b) the sleep over was canceled after lice was found,b) the sleep over was canceled after lice was found,b) the sleep over was canceled after lice was found
anli,1,social,cause prediction,context: observation 1. elle's chorus was having a bake sale to raise money for new robes. observation 2. the chorus had raised nearly half of what they needed in one day! question: what is the most plausible hypothesis? options: a) elle made lots of cookies to give away free b) elles chorus really wanted new robes,context: observation 1. elle's chorus was having a bake sale to raise money for new robes. observation 2. the chorus had raised nearly half of what they needed in one day! question: what is the most plausible hypothesis? options: a) elle made lots of cookies to give away free b) elles chorus really wanted new robes,b) elles chorus really wanted new robes,b) elles chorus really wanted new robes
anli,1,commonsense,effect prediction,context: observation 1. alex needed groceries. observation 2. she bought the groceries. question: what is the most plausible hypothesis? options: a) she went to the grocery store b) alex went to the auto shop,context: observation 1. alex needed groceries. observation 2. she bought the groceries. question: what is the most plausible hypothesis? options: a) she went to the grocery store b) alex went to the auto shop,a) she went to the grocery store,a) she went to the grocery store
anli,1,commonsense,cause prediction,context: observation 1. lucy and her grandma were leaving blockbuster. observation 2. he refused because once a day is enough. question: what is the most plausible hypothesis? options: a) lucys brother didnt want to see another chick flick with her and their grandma b) later that day lucy asked her grandpa to take her back to school,context: observation 1. lucy and her grandma were leaving blockbuster. observation 2. he refused because once a day is enough. question: what is the most plausible hypothesis? options: a) lucys brother didnt want to see another chick flick with her and their grandma b) later that day lucy asked her grandpa to take her back to school,a) lucys brother didnt want to see another chick flick with her and their grandma,a) lucys brother didnt want to see another chick flick with her
anli,1,commonsense,cause prediction,context: observation 1. my wife needed a pair of boots for the winter. observation 2. then she bought four more pairs! question: what is the most plausible hypothesis? options: a) when my wife went to the shoe store she found a deal on boot for me b) when i went to the store i found a deal on boots for me,context: observation 1. my wife needed a pair of boots for the winter. observation 2. then she bought four more pairs! question: what is the most plausible hypothesis? options: a) when my wife went to the shoe store she found a deal on boot for me b) when i went to the store i found a deal on boots for me,a) when my wife went to the shoe store she found a deal on boot for me,a) when my wife went to the shoe store she found a deal on boot for
anli,1,social,cause prediction,context: observation 1. becca was an awesome singer. observation 2. becca's mom cried at her daughter's amazing display. question: what is the most plausible hypothesis? options: a) becca was too scared to sing in public b) becca performed a duet with her classmate,context: observation 1. becca was an awesome singer. observation 2. becca's mom cried at her daughter's amazing display. question: what is the most plausible hypothesis? options: a) becca was too scared to sing in public b) becca performed a duet with her classmate,b) becca performed a duet with her classmate,b) becca performed a duet with her classmate
anli,0,commonsense,cause prediction,"context: observation 1. sadie had just gotten off from work. observation 2. nervous, she ran the rest of the way. question: what is the most plausible hypothesis? options: a) there was thunder and lighting up ahead b) walking home sadie noticed no one was following her","context: observation 1. sadie had just gotten off from work. observation 2. nervous, she ran the rest of the way. question: what is the most plausible hypothesis? options: a) there was thunder and lighting up ahead b) walking home sadie noticed no one was following her",a) there was thunder and lighting up ahead,b) walking home sadie noticed no one was following her
anli,1,commonsense,cause prediction,context: observation 1. may was a big fan of the singing group pentatonix. observation 2. later that month may went to see and meet the band members! question: what is the most plausible hypothesis? options: a) may won a radio contest to meet the band b) may bought counterfeit tickets online,context: observation 1. may was a big fan of the singing group pentatonix. observation 2. later that month may went to see and meet the band members! question: what is the most plausible hypothesis? options: a) may won a radio contest to meet the band b) may bought counterfeit tickets online,a) may won a radio contest to meet the band,a) may won a radio contest to meet the band
anli,0,commonsense,cause prediction,context: observation 1. my best friend got married and moved to hawaii. observation 2. we celebrated for days and i left for home at the end of the week. question: what is the most plausible hypothesis? options: a) my best friend visited me on a vacation b) i went with her to celebrate,context: observation 1. my best friend got married and moved to hawaii. observation 2. we celebrated for days and i left for home at the end of the week. question: what is the most plausible hypothesis? options: a) my best friend visited me on a vacation b) i went with her to celebrate,b) i went with her to celebrate,a) my best friend visited me on a vacation
anli,1,commonsense,cause prediction,context: observation 1. rachel bought a goldfish for her child. observation 2. her child asked her why his fish lost so much weight. question: what is the most plausible hypothesis? options: a) the goldfish appeared to lose weight rapidly b) her child did not feed the dog,context: observation 1. rachel bought a goldfish for her child. observation 2. her child asked her why his fish lost so much weight. question: what is the most plausible hypothesis? options: a) the goldfish appeared to lose weight rapidly b) her child did not feed the dog,a) the goldfish appeared to lose weight rapidly,a) the goldfish appeared to lose weight rapidly
anli,0,commonsense,cause prediction,context: observation 1. a third base coach gave the wrong sign to a player on first. observation 2. that was the third out and the inning was over. question: what is the most plausible hypothesis? options: a) the player rounded second as the left fielder threw the ball to the first baseman b) the player tried to steal second and was tagged out,context: observation 1. a third base coach gave the wrong sign to a player on first. observation 2. that was the third out and the inning was over. question: what is the most plausible hypothesis? options: a) the player rounded second as the left fielder threw the ball to the first baseman b) the player tried to steal second and was tagged out,b) the player tried to steal second and was tagged out,a) the player rounded second as the left fielder threw the ball to
anli,0,social,cause prediction,context: observation 1. jacob was eager for the upcoming science fair. observation 2. jacob's efforts paid off when he took home the first place ribbon. question: what is the most plausible hypothesis? options: a) jacob made a small scale wind turbine farm b) jacob prepared lazily all week,context: observation 1. jacob was eager for the upcoming science fair. observation 2. jacob's efforts paid off when he took home the first place ribbon. question: what is the most plausible hypothesis? options: a) jacob made a small scale wind turbine farm b) jacob prepared lazily all week,a) jacob made a small scale wind turbine farm,b) jacob prepared lazily all week
anli,0,commonsense,effect prediction,"context: observation 1. martin was a friendly guy. observation 2. she dried her eyes, smiled, and waved back. question: what is the most plausible hypothesis? options: a) martin waved to the sad girl wqlking by b) martin met a crying girl she gave martin a candy","context: observation 1. martin was a friendly guy. observation 2. she dried her eyes, smiled, and waved back. question: what is the most plausible hypothesis? options: a) martin waved to the sad girl wqlking by b) martin met a crying girl she gave martin a candy",a) martin waved to the sad girl wqlking by,b) martin met a crying girl she gave martin a candy
